fir_case_number,accused_full_name,role
KAR/BID/2024/0421,Henry Deshmukh,Co-conspirator
KAR/BEN/2024/0474,Kalpit Kala,Accomplice
KAR/RAI/2024/1650,Zaid De,Primary Suspect
KAR/TUM/2024/0588,Waida Doctor,Accomplice
KAR/TUM/2024/2326,Gayathri Thakkar,Primary Suspect
KAR/HUB/2024/2174,Aditya Guha,Co-conspirator
KAR/RAI/2024/0867,Bakhshi Sahni,Accomplice
KAR/RAI/2024/0605,Aryan Apte,Primary Suspect
KAR/BID/2024/1350,Guneet Bahri,Primary Suspect
KAR/BEN/2024/0988,Ikshita Ramaswamy,Primary Suspect
KAR/MYS/2024/1167,Ayaan Ganguly,Accomplice
KAR/BEN/2024/1327,Siddharth Morar,Primary Suspect
KAR/BEN/2024/0259,Isaiah Jani,Co-conspirator
KAR/BEN/2024/1898,Bachittar Johal,Primary Suspect
KAR/BEN/2024/0711,Janya Goda,Co-conspirator
KAR/KAL/2024/0710,Harrison Ganesh,Primary Suspect
KAR/BEN/2024/0697,Zehaan Wagle,Accomplice
KAR/MAN/2024/1082,Chavvi De,Accomplice
KAR/BEN/2024/2218,Arya Parikh,Co-conspirator
KAR/BEN/2024/1768,Theodore Deshpande,Primary Suspect
KAR/BEL/2024/0548,Xiti Malhotra,Primary Suspect
KAR/HUB/2024/1135,Hritik Thaman,Primary Suspect
KAR/MAN/2024/0227,Zayyan Balakrishnan,Primary Suspect
KAR/RAI/2024/0090,Alexander Sarna,Co-conspirator
KAR/BEN/2024/1065,Yug Krishna,Co-conspirator
KAR/KOL/2024/0386,Nitesh Setty,Co-conspirator
KAR/MAN/2024/0541,Reyansh Pradhan,Co-conspirator
KAR/BEN/2024/2044,Abhiram Chakraborty,Accomplice
KAR/VIJ/2024/2457,Abhiram Minhas,Primary Suspect
KAR/BEN/2024/0553,Falak Lad,Accomplice
KAR/RAI/2024/2119,Onveer Bhatnagar,Primary Suspect
KAR/MAN/2024/0796,Chatura Bhandari,Accomplice
KAR/BEN/2024/2348,Henry Gala,Co-conspirator
KAR/BEN/2024/2184,Raksha Chowdhury,Primary Suspect
KAR/MYS/2024/0215,Arya Jaggi,Primary Suspect
KAR/KOL/2024/1451,Krish Date,Co-conspirator
KAR/BEN/2024/0722,Rohan Dash,Co-conspirator
KAR/BEN/2024/0646,Michael Jaggi,Co-conspirator
KAR/HAS/2024/0659,Harrison Ramakrishnan,Co-conspirator
KAR/CHI/2024/0542,Unnati Suresh,Primary Suspect
KAR/VIJ/2024/1506,Yatin Nagi,Co-conspirator
KAR/BEN/2024/0271,Zehaan Mannan,Co-conspirator
KAR/BEN/2024/1982,Peter Kari,Co-conspirator
KAR/KOP/2024/1583,Ekiya Bath,Co-conspirator
KAR/MYS/2024/0496,Sai Bali,Co-conspirator
KAR/BEN/2024/1366,Raghav Kale,Co-conspirator
KAR/MAN/2024/1854,Nathaniel Toor,Primary Suspect
KAR/DAV/2024/1844,Om Roy,Accomplice
KAR/BEN/2024/2442,Shaurya Zacharia,Accomplice
KAR/KOL/2024/2239,Indira Munshi,Co-conspirator
KAR/BEN/2024/0572,Raghav Kale,Accomplice
KAR/HAS/2024/1646,Aarnav Narayanan,Co-conspirator
KAR/MAN/2024/0455,Indrajit Dutt,Accomplice
KAR/BEN/2024/0650,Oeshi Saraf,Co-conspirator
KAR/HUB/2024/0241,Yatin Lalla,Accomplice
KAR/KOL/2024/2031,Chatresh Kota,Co-conspirator
KAR/UDU/2024/0735,Meghana Khalsa,Co-conspirator
KAR/CHI/2024/0061,Chameli Wason,Accomplice
KAR/BEN/2024/1254,Fitan Suri,Co-conspirator
KAR/BAL/2024/2485,Jacob Mistry,Primary Suspect
KAR/BEN/2024/1680,Daksh Sachdeva,Accomplice
KAR/MAN/2024/1472,Fariq Sule,Co-conspirator
KAR/KAL/2024/1984,Benjamin Khalsa,Accomplice
KAR/BEN/2024/0140,Vyanjana Bhargava,Primary Suspect
KAR/TUM/2024/2177,Ikbal Panchal,Primary Suspect
KAR/BEN/2024/2028,Triya Cherian,Primary Suspect
KAR/BEN/2024/0477,Leela Padmanabhan,Accomplice
KAR/MAN/2024/0297,Michael Cheema,Primary Suspect
KAR/BEN/2024/1752,Frederick Cheema,Co-conspirator
KAR/DAV/2024/0549,Jagat Chakraborty,Co-conspirator
KAR/BID/2024/1266,Ayaan Ganguly,Primary Suspect
KAR/BEN/2024/0202,Qasim Sharma,Accomplice
KAR/HUB/2024/0675,Gaurang Lad,Co-conspirator
KAR/RAI/2024/2469,Harrison Basak,Accomplice
KAR/BEN/2024/1634,Isaac Kapur,Co-conspirator
KAR/CHI/2024/0704,Azaan Acharya,Primary Suspect
KAR/BEN/2024/1081,Michael Dua,Co-conspirator
KAR/MAN/2024/0024,Chameli Wason,Co-conspirator
KAR/MAN/2024/0489,Sara Sha,Co-conspirator
KAR/BEL/2024/2203,Ishaan Prasad,Accomplice
KAR/KOP/2024/0186,Ishaan Buch,Accomplice
KAR/TUM/2024/1109,Prisha Pau,Co-conspirator
KAR/TUM/2024/1732,Wahab Kannan,Co-conspirator
KAR/BID/2024/1523,Theodore Datta,Co-conspirator
KAR/KAL/2024/0514,Nisha Arora,Co-conspirator
KAR/MAN/2024/1516,Chatresh Mand,Co-conspirator
KAR/HAS/2024/1071,Noah Balakrishnan,Primary Suspect
KAR/BAL/2024/1499,Bhavna Rai,Accomplice
KAR/DAV/2024/1407,Udarsh Kapur,Primary Suspect
KAR/KOP/2024/0103,Girik Dara,Co-conspirator
KAR/BEN/2024/0015,Ekbal Warrior,Accomplice
KAR/BID/2024/0862,Abeer Sawhney,Primary Suspect
KAR/KOL/2024/1940,Hitesh Shere,Accomplice
KAR/BEL/2024/0733,Widisha Sarkar,Accomplice
KAR/DAV/2024/1533,Jason Patil,Accomplice
KAR/SHI/2024/1276,Bishakha Bawa,Primary Suspect
KAR/BEN/2024/1181,Tristan Nagarajan,Primary Suspect
KAR/KOP/2024/1079,Advaith Palla,Primary Suspect
KAR/KOP/2024/0644,Anthony Zachariah,Co-conspirator
KAR/MAN/2024/1114,Bakhshi Oommen,Primary Suspect
KAR/MAN/2024/0129,Jalsa Mahajan,Co-conspirator
KAR/BAL/2024/1946,Max Ghose,Accomplice
KAR/BEN/2024/1711,Rohan Wadhwa,Accomplice
KAR/BEN/2024/1016,Ayush Swamy,Accomplice
KAR/BEN/2024/1358,Jack Gill,Primary Suspect
KAR/RAI/2024/0324,Balhaar Din,Co-conspirator
KAR/BEN/2024/0743,Pratyush Virk,Co-conspirator
KAR/DAV/2024/2082,Kabir Bhat,Co-conspirator
KAR/BEN/2024/0699,Rehaan Raman,Co-conspirator
KAR/KOP/2024/0149,Krish Chadha,Accomplice
KAR/BEN/2024/1654,Dakshesh D’Alia,Accomplice
KAR/DAV/2024/1708,Harsh Mitra,Co-conspirator
KAR/BEN/2024/1774,Yashoda Khalsa,Primary Suspect
KAR/BEN/2024/1863,Teerth Agrawal,Primary Suspect
KAR/BEN/2024/1999,Mohini Soni,Accomplice
KAR/HUB/2024/0087,Zinal Gala,Accomplice
KAR/MAN/2024/1821,Timothy Thaman,Accomplice
KAR/RAI/2024/2205,Darsh Subramaniam,Accomplice
KAR/BEN/2024/0341,Gaurav Modi,Primary Suspect
KAR/BEL/2024/1411,Dhruv Saini,Accomplice
KAR/KOP/2024/0636,Kiaan Edwin,Co-conspirator
KAR/BID/2024/0379,Om Sibal,Primary Suspect
KAR/KAL/2024/0064,Isha Tandon,Accomplice
KAR/BID/2024/0882,William Srinivas,Primary Suspect
KAR/MYS/2024/0654,Dayamai Misra,Primary Suspect
KAR/BEN/2024/1134,Utkarsh Devi,Co-conspirator
KAR/RAI/2024/1985,Meghana Panchal,Accomplice
KAR/HUB/2024/0399,Anjali Radhakrishnan,Co-conspirator
KAR/HUB/2024/1579,Arya Jaggi,Co-conspirator
KAR/BEN/2024/2270,Radhika Dash,Primary Suspect
KAR/BEL/2024/0480,Arin Kohli,Primary Suspect
KAR/KAL/2024/0131,Vasudha Balasubramanian,Primary Suspect
KAR/KAL/2024/1920,Nisha Sekhon,Co-conspirator
KAR/HUB/2024/1585,Wazir Rai,Primary Suspect
KAR/MAN/2024/1794,Noah Agate,Accomplice
KAR/CHI/2024/1380,Chaaya Kapoor,Co-conspirator
KAR/CHI/2024/0835,Ayush Sankar,Accomplice
KAR/KOP/2024/2014,Ekbal Kulkarni,Accomplice
KAR/BEN/2024/1910,Daksh Gokhale,Accomplice
KAR/BEN/2024/1362,Faraj Bassi,Primary Suspect
KAR/BEN/2024/1014,Gautami Iyengar,Primary Suspect
KAR/BEN/2024/1302,Umang D’Alia,Co-conspirator
KAR/MAN/2024/0432,Faras Pall,Co-conspirator
KAR/DAV/2024/0150,Faqid Chadha,Primary Suspect
KAR/TUM/2024/0639,Finn Manda,Primary Suspect
KAR/KAL/2024/1432,Netra Cherian,Primary Suspect
KAR/BEN/2024/1967,Om Roy,Co-conspirator
KAR/BEN/2024/0828,Avi Ranganathan,Co-conspirator
KAR/KOL/2024/1213,Zansi Dar,Accomplice
KAR/CHI/2024/1062,Aadi Ganesh,Accomplice
KAR/HUB/2024/2455,Hemang Dalal,Co-conspirator
KAR/BEL/2024/2203,Rachit Keer,Primary Suspect
KAR/BEN/2024/0283,Ranbir Bhargava,Co-conspirator
KAR/BEN/2024/0711,Darsh Kade,Primary Suspect
KAR/BEN/2024/0364,Gaurangi Dugal,Primary Suspect
KAR/BAL/2024/0487,Upkaar Bhasin,Primary Suspect
KAR/BEN/2024/2444,Ansh Bali,Co-conspirator
KAR/CHI/2024/2137,Nachiket Narayanan,Primary Suspect
KAR/BEN/2024/1462,Watika Palla,Co-conspirator
KAR/BEN/2024/1901,Rayaan Agarwal,Accomplice
KAR/BID/2024/0862,Advaith Palla,Co-conspirator
KAR/UDU/2024/1143,Faris Ramakrishnan,Primary Suspect
KAR/BEN/2024/2270,Balhaar Parikh,Primary Suspect
KAR/KOL/2024/0731,Victor Wason,Co-conspirator
KAR/KAL/2024/2074,Wahab Mitter,Primary Suspect
KAR/BID/2024/1936,Ekapad Sood,Primary Suspect
KAR/BEN/2024/1098,Balhaar Din,Co-conspirator
KAR/RAI/2024/2192,Jatin Bumb,Co-conspirator
KAR/MYS/2024/0701,Kabir Kanda,Accomplice
KAR/TUM/2024/1776,Finn Srinivas,Co-conspirator
KAR/CHI/2024/1602,Jonathan Chander,Co-conspirator
KAR/DAV/2024/1043,Anmol Madan,Primary Suspect
KAR/TUM/2024/2441,Samarth Vora,Co-conspirator
KAR/VIJ/2024/0775,Manan Sha,Accomplice
KAR/BEN/2024/0353,Ayushman Garg,Primary Suspect
KAR/BEN/2024/1870,Ayush Dube,Accomplice
KAR/CHI/2024/0257,Girish Dewan,Primary Suspect
KAR/BAL/2024/2186,Umang Karpe,Accomplice
KAR/BEN/2024/1572,Quincy Dubey,Co-conspirator
KAR/BEN/2024/0338,Ansh Bali,Co-conspirator
KAR/KOL/2024/2097,Arjun Garg,Accomplice
KAR/RAI/2024/1309,Anirudh Sule,Primary Suspect
KAR/BEN/2024/0191,Ethan Bhardwaj,Accomplice
KAR/KOL/2024/0166,Samar Sabharwal,Primary Suspect
KAR/VIJ/2024/0441,Harrison Baral,Co-conspirator
KAR/UDU/2024/0620,Banjeet Tara,Accomplice
KAR/HAS/2024/0208,Jacob Acharya,Accomplice
KAR/BEN/2024/1149,Harshil Kuruvilla,Co-conspirator
KAR/BEN/2024/2305,Azad Bala,Primary Suspect
KAR/BEN/2024/0942,Samarth Mody,Primary Suspect
KAR/RAI/2024/0046,Anjali Parekh,Co-conspirator
KAR/BEL/2024/0598,Lipika Jhaveri,Accomplice
KAR/BEN/2024/1214,Frederick Sidhu,Primary Suspect
KAR/HAS/2024/0659,Wriddhish Raval,Co-conspirator
KAR/BEN/2024/1941,Luke Khosla,Primary Suspect
KAR/BEN/2024/2347,Aarush Arora,Co-conspirator
KAR/BEN/2024/1604,Aditya Guha,Co-conspirator
KAR/VIJ/2024/1631,Faras Rattan,Co-conspirator
KAR/RAI/2024/1682,Anthony Ravel,Accomplice
KAR/DAV/2024/1210,Patrick Deol,Co-conspirator
KAR/VIJ/2024/1207,Nidhi Thakkar,Primary Suspect
KAR/VIJ/2024/0256,Devika Nadig,Primary Suspect
KAR/TUM/2024/2273,Gabriel Mittal,Co-conspirator
KAR/BEN/2024/2147,Balveer Doctor,Co-conspirator
KAR/BEN/2024/1291,Zaid Murthy,Accomplice
KAR/MAN/2024/1236,Harsh Datta,Co-conspirator
KAR/BEL/2024/1934,Anthony Mani,Co-conspirator
KAR/RAI/2024/0729,Tristan Bajaj,Primary Suspect
KAR/BEN/2024/0029,Banjeet Bal,Co-conspirator
KAR/BID/2024/1381,Falak Nadig,Accomplice
KAR/VIJ/2024/0602,Dalbir Varghese,Primary Suspect
KAR/BEN/2024/0136,Devika Srivastava,Accomplice
KAR/KOL/2024/1344,Samuel Kuruvilla,Accomplice
KAR/BEN/2024/1739,Pranav Sathe,Co-conspirator
KAR/KOP/2024/0878,Chaitanya Banik,Co-conspirator
KAR/BEN/2024/1697,Isaac Khurana,Co-conspirator
KAR/SHI/2024/1465,Dipta Tiwari,Primary Suspect
KAR/BEN/2024/1455,Om Sibal,Co-conspirator
KAR/BEN/2024/0128,Balendra D’Alia,Accomplice
KAR/BAL/2024/1590,Ekbal Sem,Co-conspirator
KAR/BEN/2024/1570,Yadavi Rama,Co-conspirator
KAR/HAS/2024/1699,Noah Balakrishnan,Accomplice
KAR/BEN/2024/1893,Naksh Dube,Primary Suspect
KAR/SHI/2024/2484,Xalak Rajan,Accomplice
KAR/BEN/2024/1277,Aarav Jaggi,Co-conspirator
KAR/BEN/2024/0916,Oliver Sharaf,Co-conspirator
KAR/BEN/2024/1681,Chandran Gala,Primary Suspect
KAR/MAN/2024/0034,Faras Shukla,Co-conspirator
KAR/BEN/2024/0973,Harshil Shukla,Primary Suspect
KAR/KOP/2024/1203,Eiravati Banik,Accomplice
KAR/HAS/2024/0978,Utkarsh Devi,Primary Suspect
KAR/BEN/2024/0229,Hardik Lad,Accomplice
KAR/KOL/2024/0043,Aarav Bhardwaj,Co-conspirator
KAR/BEN/2024/2342,Yutika Prashad,Accomplice
KAR/SHI/2024/1609,Ekansh Konda,Co-conspirator
KAR/CHI/2024/0927,Varenya Bahri,Primary Suspect
KAR/BID/2024/1041,Matthew Bala,Primary Suspect
KAR/DAV/2024/0954,Tarak Ravi,Co-conspirator
KAR/BEN/2024/1647,Pranit Rau,Accomplice
KAR/BEN/2024/0177,Yash Bir,Primary Suspect
KAR/KAL/2024/1435,Isaac Lad,Accomplice
KAR/HAS/2024/1071,Indira Jaggi,Co-conspirator
KAR/BAL/2024/1574,Mason Sur,Primary Suspect
KAR/BEN/2024/1437,Pratyush Lala,Co-conspirator
KAR/HAS/2024/1367,Vivaan Mitra,Primary Suspect
KAR/KOP/2024/1305,Agastya Ratti,Primary Suspect
KAR/BID/2024/1080,Dalbir Varghese,Accomplice
KAR/MAN/2024/0796,Sudiksha Rama,Primary Suspect
KAR/KOL/2024/0074,Anthony Dash,Primary Suspect
KAR/BEN/2024/2286,Dhruv Parmar,Accomplice
KAR/KAL/2024/0508,Pratyush Tank,Accomplice
KAR/CHI/2024/2137,Anika Grover,Accomplice
KAR/MAN/2024/1854,Teerth Chaudhry,Accomplice
KAR/BEN/2024/1791,Neel Choudhury,Primary Suspect
KAR/DAV/2024/1002,Naveen Sur,Accomplice
KAR/SHI/2024/0086,Samar Shankar,Accomplice
KAR/MYS/2024/2321,Liam Bhatnagar,Co-conspirator
KAR/DAV/2024/1849,Benjamin Dhingra,Primary Suspect
KAR/KOP/2024/1299,Benjamin Chaudry,Primary Suspect
KAR/BEN/2024/0072,Kabir Yogi,Co-conspirator
KAR/BEN/2024/2243,Bishakha Bawa,Co-conspirator
KAR/CHI/2024/0682,Anita Bhatnagar,Primary Suspect
KAR/BEN/2024/1301,Advay Bhardwaj,Primary Suspect
KAR/MAN/2024/1932,Saumya Lad,Co-conspirator
KAR/DAV/2024/2233,Darpan Bajaj,Primary Suspect
KAR/BEN/2024/0527,Neha Kata,Co-conspirator
KAR/MAN/2024/1843,Pranav Kapadia,Co-conspirator
KAR/BEL/2024/1142,Arya Varkey,Co-conspirator
KAR/BEN/2024/0495,Dev Dalal,Primary Suspect
KAR/SHI/2024/0750,Saanvi Nadig,Co-conspirator
KAR/UDU/2024/2454,Hema Chadha,Co-conspirator
KAR/RAI/2024/0090,Rudra Anne,Co-conspirator
KAR/CHI/2024/2388,Mason Sharma,Accomplice
KAR/HUB/2024/0168,Anirudh Yohannan,Accomplice
KAR/KAL/2024/0418,Baghyawati Nadkarni,Co-conspirator
KAR/KOP/2024/1616,Nihal Bhakta,Co-conspirator
KAR/DAV/2024/0547,Manthan Palla,Accomplice
KAR/BEN/2024/1684,Rushil Virk,Accomplice
KAR/MAN/2024/2185,Rishi Tank,Primary Suspect
KAR/KOP/2024/0712,Wahab Saini,Primary Suspect
KAR/RAI/2024/1520,Gautam Natt,Primary Suspect
KAR/RAI/2024/0066,Caleb Thakur,Primary Suspect
KAR/HUB/2024/0772,Qarin Dutt,Co-conspirator
KAR/DAV/2024/1140,Krisha Kannan,Primary Suspect
KAR/BEN/2024/2400,Ishaan Mahajan,Primary Suspect
KAR/HAS/2024/1824,Matthew Sundaram,Primary Suspect
KAR/BEL/2024/2244,Manya Mangal,Co-conspirator
KAR/UDU/2024/0416,Rehaan Sharaf,Primary Suspect
KAR/BEL/2024/0934,Aadi Prabhu,Co-conspirator
KAR/VIJ/2024/1108,Nachiket Bhat,Primary Suspect
KAR/HAS/2024/1676,Tristan Handa,Accomplice
KAR/MAN/2024/2491,Pranit Sankar,Accomplice
KAR/MAN/2024/1472,Varenya Sharaf,Accomplice
KAR/BEN/2024/0688,Darsh Ganesan,Co-conspirator
KAR/SHI/2024/0280,Chaitaly Yogi,Primary Suspect
KAR/MAN/2024/1554,Forum Chauhan,Accomplice
KAR/BEN/2024/2065,Zashil Dayal,Primary Suspect
KAR/BEN/2024/1681,Ikbal Panchal,Co-conspirator
KAR/RAI/2024/1929,Azad Issac,Accomplice
KAR/MYS/2024/1406,Osha Hari,Co-conspirator
KAR/BEN/2024/1872,Balendra Wadhwa,Primary Suspect
KAR/BEL/2024/2148,Jason Nath,Accomplice
KAR/RAI/2024/1929,Max Gola,Primary Suspect
KAR/SHI/2024/0007,Sathvik Sunder,Primary Suspect
KAR/CHI/2024/0927,Nicholas Bakshi,Primary Suspect
KAR/UDU/2024/0472,Gopal Jain,Accomplice
KAR/CHI/2024/1075,Vaishnavi Loyal,Primary Suspect
KAR/VIJ/2024/1690,Shivansh Ghose,Co-conspirator
KAR/BEN/2024/1640,Ekalinga Gill,Accomplice
KAR/DAV/2024/2256,Michael Gandhi,Primary Suspect
KAR/SHI/2024/1322,Andrew Gola,Primary Suspect
KAR/BEN/2024/0454,Patrick Deol,Co-conspirator
KAR/KAL/2024/0751,Nihal Gera,Co-conspirator
KAR/KOP/2024/1775,Ekaraj Savant,Accomplice
KAR/BEN/2024/2240,Ekiya Bath,Co-conspirator
KAR/TUM/2024/2326,Dakshesh Jayaraman,Co-conspirator
KAR/BEN/2024/0270,Krish Puri,Primary Suspect
KAR/UDU/2024/2498,Gunbir Kothari,Primary Suspect
KAR/DAV/2024/0669,Oscar Saran,Accomplice
KAR/KOL/2024/2294,Nitara Savant,Co-conspirator
KAR/BEN/2024/0226,Maanas Sahni,Co-conspirator
KAR/BEN/2024/1339,Faqid Venkatesh,Co-conspirator
KAR/BEN/2024/0009,Isaiah Chauhan,Accomplice
KAR/BEN/2024/2330,Ekapad Borde,Accomplice
KAR/BEN/2024/2197,Xavier Subramanian,Accomplice
KAR/BEN/2024/0342,Arjun Ahuja,Co-conspirator
KAR/BEN/2024/1145,William Srinivas,Co-conspirator
KAR/BEN/2024/1501,Rehaan Brar,Co-conspirator
KAR/BEN/2024/0643,Advika Agrawal,Co-conspirator
KAR/BEN/2024/0671,Faras Pall,Co-conspirator
KAR/BEL/2024/2128,Edhitha Krishnan,Co-conspirator
KAR/KOP/2024/1803,Udarsh Kapur,Accomplice
KAR/UDU/2024/0936,Dakshesh Rao,Primary Suspect
KAR/DAV/2024/1393,Yauvani Atwal,Co-conspirator
KAR/BEL/2024/0953,Chaaya Natt,Accomplice
KAR/HUB/2024/1585,Tejas Deshmukh,Co-conspirator
KAR/BEN/2024/1983,Balendra Nagy,Co-conspirator
KAR/RAI/2024/2493,Kai Bawa,Co-conspirator
KAR/MYS/2024/0703,Manbir Deol,Primary Suspect
KAR/BEN/2024/1301,Matthew Bala,Primary Suspect
KAR/UDU/2024/0540,Faras Rattan,Primary Suspect
KAR/BEN/2024/1088,Pratyush Narayan,Co-conspirator
KAR/BEN/2024/1136,Akshay Raghavan,Accomplice
KAR/TUM/2024/0999,Oni Acharya,Primary Suspect
KAR/BEN/2024/1630,Lakshit Dayal,Primary Suspect
KAR/UDU/2024/2039,Gautami Raghavan,Accomplice
KAR/MYS/2024/2361,Faqid Bandi,Accomplice
KAR/BEL/2024/0141,Aarav Sanghvi,Primary Suspect
KAR/UDU/2024/1996,George Bhandari,Co-conspirator
KAR/BEN/2024/0158,Samarth Mody,Primary Suspect
KAR/BEN/2024/2347,Ekavir Naik,Primary Suspect
KAR/TUM/2024/0538,Siddharth Varty,Primary Suspect
KAR/BEN/2024/0777,Daniel Swamy,Accomplice
KAR/BEN/2024/0653,Abhiram Minhas,Accomplice
KAR/MAN/2024/1472,Samesh Chakraborty,Co-conspirator
KAR/BEN/2024/2449,Ekaraj Savant,Accomplice
KAR/KAL/2024/1247,Chaman Sankar,Primary Suspect
KAR/MAN/2024/0796,Faraj Bhatt,Co-conspirator
KAR/DAV/2024/2288,Amol Naidu,Primary Suspect
KAR/BID/2024/0752,Zansi Suresh,Co-conspirator
KAR/BEN/2024/1612,Girik Raman,Primary Suspect
KAR/MAN/2024/0246,Kai Iyer,Accomplice
KAR/HUB/2024/1603,Vasatika Kala,Primary Suspect
KAR/HAS/2024/1410,Bakhshi Oommen,Co-conspirator
KAR/VIJ/2024/0810,Nidhi Goel,Co-conspirator
KAR/BEN/2024/1442,Aayush Memon,Accomplice
KAR/TUM/2024/2255,Vansha Dhingra,Primary Suspect
KAR/SHI/2024/0903,Bakhshi Sahni,Accomplice
KAR/DAV/2024/2101,Amara Chakrabarti,Primary Suspect
KAR/BAL/2024/1183,Falan Sahota,Accomplice
KAR/RAI/2024/1683,Max Modi,Primary Suspect
KAR/RAI/2024/2398,Ayaan Sarma,Accomplice
KAR/SHI/2024/1861,Maanas Kashyap,Co-conspirator
KAR/BEN/2024/0759,Oscar Lall,Co-conspirator
KAR/BEN/2024/1818,Nathan Choudhary,Accomplice
KAR/KOL/2024/0892,Dev Pandit,Accomplice
KAR/BEN/2024/1536,Advay Saraf,Co-conspirator
KAR/BEN/2024/0566,Abdul Chadha,Co-conspirator
KAR/BEN/2024/2430,Qarin Dube,Co-conspirator
KAR/BEN/2024/0986,Om Oommen,Accomplice
KAR/SHI/2024/2124,Fiyaz Wali,Co-conspirator
KAR/HUB/2024/0406,Christopher Sule,Co-conspirator
KAR/KOP/2024/0644,Forum Chauhan,Primary Suspect
KAR/BID/2024/0752,Rajeshri Pillai,Accomplice
KAR/RAI/2024/0046,Luke Khurana,Accomplice
KAR/MYS/2024/0859,Ganga Zachariah,Accomplice
KAR/BEN/2024/2336,Oviya Soman,Accomplice
KAR/BEN/2024/1612,Faqid Venkatesh,Accomplice
KAR/UDU/2024/0657,Finn Manda,Primary Suspect
KAR/UDU/2024/1615,Ojasvi Pall,Primary Suspect
KAR/DAV/2024/2282,Bahadurjit Kala,Primary Suspect
KAR/BEL/2024/0480,Michael Gandhi,Primary Suspect
KAR/BEN/2024/0282,Avi Ranganathan,Co-conspirator
KAR/MAN/2024/0155,Nitesh Setty,Co-conspirator
KAR/BEN/2024/1337,Charan Balakrishnan,Primary Suspect
KAR/BEN/2024/1647,Advay Wable,Accomplice
KAR/RAI/2024/2205,Peter Aggarwal,Co-conspirator
KAR/BEN/2024/0132,Rehaan Chaudry,Co-conspirator
KAR/HAS/2024/0208,Gaurang Chandra,Primary Suspect
KAR/TUM/2024/0532,Kritika Nair,Co-conspirator
KAR/BEN/2024/0926,Kabir Krishnamurthy,Accomplice
KAR/RAI/2024/0729,Samarth Vora,Accomplice
KAR/CHI/2024/0164,Krish Date,Accomplice
KAR/MAN/2024/0243,Udarsh Sami,Accomplice
KAR/BEN/2024/2283,Sudiksha Ghose,Accomplice
KAR/KOP/2024/1434,Dalbir Singh,Accomplice
KAR/BEN/2024/1618,Eshana Gandhi,Co-conspirator
KAR/KOL/2024/0968,Anthony Mohan,Primary Suspect
KAR/BEN/2024/2218,Ekalinga Gandhi,Accomplice
KAR/BID/2024/1936,Owen Bora,Primary Suspect
KAR/DAV/2024/1384,Darpan Rai,Accomplice
KAR/HAS/2024/1089,Ishaan Sarma,Primary Suspect
KAR/MYS/2024/2299,Aishani Mohan,Accomplice
KAR/BEN/2024/2056,Aadi Bal,Co-conspirator
KAR/BAL/2024/0745,Tanish Bera,Primary Suspect
KAR/BEN/2024/2027,Balendra Dar,Primary Suspect
KAR/BEN/2024/1704,Frado Muni,Primary Suspect
KAR/BAL/2024/2459,Abhiram Chakraborty,Accomplice
KAR/BEN/2024/0494,Sai Sekhon,Co-conspirator
KAR/CHI/2024/0846,Nidhi Goel,Accomplice
KAR/MAN/2024/1783,Prisha Mani,Accomplice
KAR/SHI/2024/1608,Amol Kulkarni,Primary Suspect
KAR/DAV/2024/1652,Frado Muni,Primary Suspect
KAR/HAS/2024/1373,Vihaan Khalsa,Accomplice
KAR/BID/2024/1553,Bhanumati Patil,Co-conspirator
KAR/MAN/2024/0885,Lohit Varty,Accomplice
KAR/DAV/2024/1877,Daniel Bala,Co-conspirator
KAR/BEN/2024/1661,Jeet Dutt,Co-conspirator
KAR/BAL/2024/1416,Wyatt Vaidya,Co-conspirator
KAR/BEN/2024/1707,Eiravati Banik,Co-conspirator
KAR/MYS/2024/0758,Neel Sheth,Accomplice
KAR/RAI/2024/1141,Gautam Master,Co-conspirator
KAR/CHI/2024/0762,Wazir Nadig,Co-conspirator
KAR/BEN/2024/0410,Jack Dass,Primary Suspect
KAR/BEN/2024/2489,Hritik Dube,Accomplice
KAR/BEN/2024/0985,Hemal Desai,Co-conspirator
KAR/HUB/2024/2307,Frederick Sidhu,Accomplice
KAR/BEN/2024/0917,Harrison Edwin,Primary Suspect
KAR/MYS/2024/0608,Michael Cheema,Primary Suspect
KAR/BEN/2024/1628,Chandani Devi,Accomplice
KAR/BEN/2024/1720,Chandani Shah,Co-conspirator
KAR/UDU/2024/1655,Yug Sahni,Co-conspirator
KAR/BEN/2024/0624,Hredhaan Dada,Primary Suspect
KAR/RAI/2024/1543,Indrajit Boase,Co-conspirator
KAR/BAL/2024/1869,Rachit Bandi,Co-conspirator
KAR/MAN/2024/0411,Gaurangi Dugal,Co-conspirator
KAR/TUM/2024/2467,Gaurang Sandal,Primary Suspect
KAR/BEN/2024/0136,Gaurav Baral,Co-conspirator
KAR/KOL/2024/0550,Wishi Suresh,Primary Suspect
KAR/SHI/2024/2161,Vrishti Varghese,Accomplice
KAR/MYS/2024/0608,Shaurya Narayan,Co-conspirator
KAR/BEN/2024/0216,Chatresh Kota,Co-conspirator
KAR/BEN/2024/2144,Wahab Mitter,Primary Suspect
KAR/BEN/2024/2347,Harrison Mangal,Primary Suspect
KAR/BEN/2024/1677,Utkarsh Bala,Co-conspirator
KAR/BEN/2024/2375,Qasim Pillai,Co-conspirator
KAR/SHI/2024/1265,Ati Pai,Primary Suspect
