fir_case_number,accused_full_name,accused_role
KAR/BID/2024/0880,Gavin Bassi,Accomplice
KAR/HUB/2024/1165,Arin Lata,Accomplice
KAR/BEN/2024/1629,Karan Kala,Primary Suspect
KAR/BEN/2024/0585,Dakshesh Chaudry,Primary Suspect
KAR/KOL/2024/0235,Anjali Verma,Primary Suspect
KAR/DAV/2024/1272,Sneha Bandi,Primary Suspect
KAR/SHI/2024/0001,Praneel Batta,Accomplice
KAR/BEN/2024/0824,Kiaan Gola,Accomplice
KAR/KOL/2024/1034,Anika Tank,Co-conspirator
KAR/BID/2024/2091,Gopal Mallick,Co-conspirator
KAR/BEN/2024/0494,Hredhaan Kar,Primary Suspect
KAR/VIJ/2024/0673,Jackson Bal,Co-conspirator
KAR/VIJ/2024/1193,Osha Narula,Primary Suspect
KAR/MAN/2024/1233,Fitan Dugal,Accomplice
KAR/BEN/2024/2241,Gagan Rattan,Co-conspirator
KAR/KOL/2024/2004,Yasti Contractor,Primary Suspect
KAR/BEN/2024/1385,Zilmil Sathe,Accomplice
KAR/BEN/2024/0246,Ranveer Dhingra,Co-conspirator
KAR/BEL/2024/1202,Sanaya Acharya,Primary Suspect
KAR/MYS/2024/1042,Rudra Mutti,Accomplice
KAR/BEN/2024/1848,Vedika Sharaf,Co-conspirator
KAR/DAV/2024/2430,Aayush Balakrishnan,Primary Suspect
KAR/KOP/2024/0507,Aarush Acharya,Accomplice
KAR/BEN/2024/2063,Jackson Andra,Primary Suspect
KAR/KOL/2024/2146,Chakradhar Chaudhuri,Co-conspirator
KAR/TUM/2024/1421,Ishaan Pillai,Accomplice
KAR/KAL/2024/0971,Kamya Sachdev,Primary Suspect
KAR/BEN/2024/1500,Varsha Sen,Primary Suspect
KAR/BEN/2024/1071,Shaurya Nadig,Co-conspirator
KAR/SHI/2024/2323,Akshay Parmar,Primary Suspect
KAR/BEN/2024/2151,Gopal Mallick,Primary Suspect
KAR/BEN/2024/0944,Odika Sem,Co-conspirator
KAR/RAI/2024/1293,Peter Pall,Primary Suspect
KAR/BEN/2024/1958,Hredhaan Gola,Accomplice
KAR/UDU/2024/0058,Gunbir Nori,Primary Suspect
KAR/BEN/2024/0815,Urishilla Dara,Accomplice
KAR/SHI/2024/1623,Pooja Kuruvilla,Co-conspirator
KAR/SHI/2024/1400,Tarak Sama,Accomplice
KAR/BID/2024/1214,Atharv Iyer,Co-conspirator
KAR/KOL/2024/1738,Guneet Das,Accomplice
KAR/SHI/2024/0819,Jeet Chada,Primary Suspect
KAR/SHI/2024/2425,Rudra Majumdar,Primary Suspect
KAR/SHI/2024/2239,Isaac Behl,Co-conspirator
KAR/BEN/2024/0756,Banjeet Rajagopalan,Primary Suspect
KAR/BEN/2024/1249,Jacob Virk,Co-conspirator
KAR/BEN/2024/0155,Suhani Kannan,Accomplice
KAR/BEN/2024/0215,Hemang Setty,Primary Suspect
KAR/VIJ/2024/2236,Aarnav Kala,Primary Suspect
KAR/UDU/2024/1361,Diya Sheth,Primary Suspect
KAR/BEN/2024/0680,Samarth Raval,Primary Suspect
KAR/UDU/2024/0918,Hitesh Goswami,Co-conspirator
KAR/MAN/2024/1088,Avi Randhawa,Primary Suspect
KAR/UDU/2024/0685,Kabir Krishnan,Co-conspirator
KAR/BEN/2024/1692,Hredhaan Shenoy,Accomplice
KAR/MYS/2024/0446,Ansh Menon,Primary Suspect
KAR/MYS/2024/0543,Kevin Korpal,Co-conspirator
KAR/KAL/2024/0212,Sanaya Minhas,Primary Suspect
KAR/BEN/2024/1470,Krish Ben,Co-conspirator
KAR/BEN/2024/0990,Gopal Prakash,Primary Suspect
KAR/DAV/2024/1879,Dakshesh Nigam,Primary Suspect
KAR/BEN/2024/0377,Dakshesh Chatterjee,Co-conspirator
KAR/UDU/2024/2130,Parth Manda,Accomplice
KAR/BEN/2024/1236,Azaan Deshmukh,Co-conspirator
KAR/KAL/2024/2406,Reyansh Khare,Co-conspirator
KAR/SHI/2024/0637,Caleb Dalal,Co-conspirator
KAR/KOP/2024/1541,Manthan Kapadia,Co-conspirator
KAR/UDU/2024/1761,Triveni Khalsa,Accomplice
KAR/MAN/2024/1088,Samar Dalal,Primary Suspect
KAR/MAN/2024/2417,Garima Pingle,Primary Suspect
KAR/BEN/2024/2039,Rehaan Narain,Co-conspirator
KAR/BEN/2024/1903,Chanakya Sood,Co-conspirator
KAR/BEN/2024/1728,Kalpit Bhatia,Accomplice
KAR/SHI/2024/2361,Noah Merchant,Primary Suspect
KAR/BEL/2024/1774,Dhriti Keer,Co-conspirator
KAR/BEN/2024/0140,Rachana Muni,Accomplice
KAR/BEN/2024/2149,Mohammed Bail,Accomplice
KAR/BEN/2024/0111,Abhiram Atwal,Primary Suspect
KAR/SHI/2024/1190,Balendra Gopal,Primary Suspect
KAR/BEN/2024/1346,Vansha Sem,Accomplice
KAR/BEN/2024/0904,Sarthak Nazareth,Primary Suspect
KAR/BEN/2024/1398,Chanakya Dasgupta,Accomplice
KAR/HAS/2024/1337,Sanya Bedi,Primary Suspect
KAR/BEN/2024/0822,Odika Wali,Accomplice
KAR/TUM/2024/2347,Indrajit Boase,Primary Suspect
KAR/BEN/2024/2204,Maanav Bajwa,Co-conspirator
KAR/BEN/2024/0982,Meera Bala,Accomplice
KAR/BEN/2024/1213,Onveer Shere,Accomplice
KAR/BEN/2024/0449,Gunbir Nori,Primary Suspect
KAR/HUB/2024/0733,Falak Sehgal,Co-conspirator
KAR/BEL/2024/2293,Leena Chauhan,Accomplice
KAR/BEN/2024/2093,Krishna Nadkarni,Co-conspirator
KAR/MAN/2024/0703,Unnati Panchal,Primary Suspect
KAR/BEN/2024/0747,Ranveer Mukhopadhyay,Co-conspirator
KAR/BEN/2024/2152,Tanveer Rai,Co-conspirator
KAR/BEN/2024/2190,Harshil Chaudhary,Accomplice
KAR/BEN/2024/0678,Ekansh Nazareth,Accomplice
KAR/BEN/2024/0639,Madhav Kuruvilla,Co-conspirator
KAR/CHI/2024/0700,Omkaar Dhar,Primary Suspect
KAR/KOL/2024/1657,Samuel Saraf,Co-conspirator
KAR/MAN/2024/0132,Indrajit Anne,Primary Suspect
KAR/DAV/2024/0044,Samaksh Bhat,Accomplice
KAR/KOP/2024/0082,Fitan Dey,Primary Suspect
KAR/SHI/2024/2323,Jason Biswas,Primary Suspect
KAR/BEN/2024/0374,Thomas Gandhi,Co-conspirator
KAR/BEN/2024/0080,Jairaj Nayak,Accomplice
KAR/UDU/2024/1471,Joshua Singhal,Co-conspirator
KAR/KAL/2024/1776,Pratyush Sha,Accomplice
KAR/HAS/2024/0192,Rishi Contractor,Co-conspirator
KAR/TUM/2024/0780,Patrick Kota,Co-conspirator
KAR/BEN/2024/0646,Anthony Madan,Primary Suspect
KAR/BEN/2024/1194,Charvi Sheth,Accomplice
KAR/SHI/2024/0476,Vincent Dara,Co-conspirator
KAR/KOL/2024/0638,Yashica De,Primary Suspect
KAR/BEN/2024/0640,Baljiwan Sandhu,Accomplice
KAR/MAN/2024/1460,Ekaraj Din,Co-conspirator
KAR/BEN/2024/2229,Ekapad Ram,Accomplice
KAR/KOL/2024/0198,Finn Oza,Co-conspirator
KAR/BEN/2024/2017,Pranit Dass,Accomplice
KAR/BEN/2024/0600,Brijesh Doctor,Primary Suspect
KAR/BAL/2024/0214,Varsha Dewan,Co-conspirator
KAR/RAI/2024/1447,Raghav Raj,Accomplice
KAR/BID/2024/1503,Christopher Magar,Accomplice
KAR/BEN/2024/1514,Nachiket Raja,Accomplice
KAR/HUB/2024/0881,Balhaar Puri,Co-conspirator
KAR/CHI/2024/1528,Alexander Agarwal,Primary Suspect
KAR/MAN/2024/0326,Pranav Puri,Accomplice
KAR/BEL/2024/1008,Anamika Ravel,Co-conspirator
KAR/BEN/2024/1171,Chatura Din,Co-conspirator
KAR/MAN/2024/1767,Henry Gade,Accomplice
KAR/BEN/2024/1978,Unnati Mishra,Primary Suspect
KAR/CHI/2024/0921,Fitan Bali,Accomplice
KAR/BEN/2024/2243,Nitesh Mander,Co-conspirator
KAR/SHI/2024/0945,Bachittar Hari,Accomplice
KAR/TUM/2024/1640,Vedhika Rai,Primary Suspect
KAR/RAI/2024/0648,Mitesh Sinha,Co-conspirator
KAR/RAI/2024/1447,Zinal Narang,Co-conspirator
KAR/CHI/2024/0209,Aahana Khalsa,Co-conspirator
KAR/KOL/2024/0523,Sai Koshy,Primary Suspect
KAR/BEN/2024/0442,Dakshesh Gour,Accomplice
KAR/BEN/2024/1684,Ryan Gole,Co-conspirator
KAR/BAL/2024/0633,Timothy Narayanan,Primary Suspect
KAR/BAL/2024/1924,Girish Peri,Co-conspirator
KAR/SHI/2024/0902,Daksh Kumar,Co-conspirator
KAR/MAN/2024/1905,Jai Oommen,Accomplice
KAR/BEL/2024/0327,Mugdha Kothari,Accomplice
KAR/BID/2024/0956,Warinder Mutti,Primary Suspect
KAR/VIJ/2024/0670,Balveer Ghose,Accomplice
KAR/UDU/2024/2216,Hredhaan Gola,Primary Suspect
KAR/UDU/2024/2055,Joshua Dugar,Accomplice
KAR/BEN/2024/0772,Tanay Bose,Co-conspirator
KAR/BEN/2024/1683,Naveen Master,Primary Suspect
KAR/SHI/2024/0553,Wahab Kala,Co-conspirator
KAR/MYS/2024/1937,Teerth Saini,Primary Suspect
KAR/BEN/2024/0581,Om Tak,Co-conspirator
KAR/DAV/2024/0529,Zayyan Kunda,Accomplice
KAR/CHI/2024/0009,Chaaya Mandal,Primary Suspect
KAR/BEN/2024/1713,Faris Upadhyay,Co-conspirator
KAR/BAL/2024/0279,Anmol Bawa,Primary Suspect
KAR/BID/2024/0880,Ekavir Prakash,Co-conspirator
KAR/HAS/2024/1961,Advaith Chadha,Co-conspirator
KAR/DAV/2024/1271,Victor Jaggi,Co-conspirator
KAR/RAI/2024/1615,Devansh Minhas,Primary Suspect
KAR/CHI/2024/0994,Chakradev Chaudhuri,Co-conspirator
KAR/BEN/2024/1452,Noah Bansal,Primary Suspect
KAR/BEN/2024/1558,Daksh Choudhury,Co-conspirator
KAR/BEN/2024/1546,Shaurya Divan,Accomplice
KAR/DAV/2024/1779,Harshil Bhatnagar,Accomplice
KAR/KOP/2024/2282,Omkaar D’Alia,Accomplice
KAR/TUM/2024/1777,Brijesh Palla,Accomplice
KAR/RAI/2024/0576,Bakhshi Kurian,Primary Suspect
KAR/MYS/2024/1066,Chandani Bora,Accomplice
KAR/BEN/2024/1839,Naveen Nigam,Accomplice
KAR/BEN/2024/2087,Lohit Tandon,Co-conspirator
KAR/BEN/2024/1552,Victor Jaggi,Accomplice
KAR/BEN/2024/0025,Dayita Deshmukh,Co-conspirator
KAR/VIJ/2024/1957,Xalak Tiwari,Accomplice
KAR/BEN/2024/1542,Jai Oommen,Primary Suspect
KAR/BEL/2024/0903,Jairaj Chadha,Accomplice
KAR/BEN/2024/2019,Tanveer Lata,Accomplice
KAR/UDU/2024/0113,Banjeet Rama,Co-conspirator
KAR/BEN/2024/0483,Hemang Shankar,Primary Suspect
KAR/BEN/2024/1415,Tamanna Kala,Accomplice
KAR/MAN/2024/1228,Odika Lall,Accomplice
KAR/BEN/2024/1062,Devansh Mangal,Co-conspirator
KAR/BEN/2024/1179,Matthew Sha,Primary Suspect
KAR/KAL/2024/1954,Baghyawati Dugar,Primary Suspect
KAR/VIJ/2024/1095,Faraj Ahluwalia,Co-conspirator
KAR/BAL/2024/1889,Christopher Brahmbhatt,Primary Suspect
KAR/BEN/2024/0758,Eshana Munshi,Co-conspirator
KAR/BEN/2024/1123,Chaitanya Thaman,Primary Suspect
KAR/BEN/2024/2342,Lavanya Sant,Accomplice
KAR/BEN/2024/0856,Diya Sengupta,Accomplice
KAR/BEN/2024/0834,Ansh Aggarwal,Accomplice
KAR/UDU/2024/1130,Vedant Cheema,Co-conspirator
KAR/HUB/2024/2337,Rishi Konda,Accomplice
KAR/SHI/2024/1070,Januja Dhaliwal,Co-conspirator
KAR/HAS/2024/1716,Balvan Soni,Primary Suspect
KAR/BEN/2024/0505,Akshay Bhavsar,Accomplice
KAR/BEN/2024/0617,Bakhshi Kurian,Co-conspirator
KAR/BEN/2024/0562,Orinder Raju,Primary Suspect
KAR/BEN/2024/0048,Bhavna Mallick,Co-conspirator
KAR/BEN/2024/1419,Jagdish Panchal,Co-conspirator
KAR/BEN/2024/1587,Jonathan Behl,Primary Suspect
KAR/HUB/2024/0977,Libni Dash,Co-conspirator
KAR/BAL/2024/1805,Ekbal Sarma,Co-conspirator
KAR/KOP/2024/0325,Nitesh Mall,Primary Suspect
KAR/RAI/2024/0464,Samesh Ramanathan,Co-conspirator
KAR/BEN/2024/1045,Mugdha Sehgal,Co-conspirator
KAR/BID/2024/1564,Jagat Keer,Co-conspirator
KAR/BEN/2024/2140,Luke Rattan,Accomplice
KAR/VIJ/2024/2360,Kalpit Modi,Accomplice
KAR/BAL/2024/2495,Faras Bedi,Accomplice
KAR/BID/2024/2016,Upasna Sunder,Primary Suspect
KAR/BEN/2024/0494,Ayaan Anand,Primary Suspect
KAR/BEN/2024/0740,Ishwar Sha,Co-conspirator
KAR/BEN/2024/2145,Udarsh Bhalla,Accomplice
KAR/BEN/2024/2444,Ekbal Sarma,Primary Suspect
KAR/BEN/2024/0173,Pratyush Muni,Accomplice
KAR/MYS/2024/2423,Ladli Bawa,Co-conspirator
KAR/BEN/2024/2270,Pratyush Srinivasan,Co-conspirator
KAR/UDU/2024/0918,Hemal Madan,Co-conspirator
KAR/BEN/2024/0133,Triveni Muni,Primary Suspect
KAR/BEN/2024/2141,Samar Dalal,Accomplice
KAR/SHI/2024/1148,Pranav Rau,Accomplice
KAR/BEN/2024/2499,Nitara Bawa,Co-conspirator
KAR/CHI/2024/1698,Samaksh Nori,Primary Suspect
KAR/MYS/2024/0208,Gagan Murthy,Co-conspirator
KAR/MAN/2024/1643,Chavvi Doctor,Accomplice
KAR/RAI/2024/0489,Patrick Tella,Accomplice
KAR/BEN/2024/0868,Krishna Kunda,Accomplice
KAR/BEN/2024/0833,Idika Sami,Co-conspirator
KAR/BID/2024/0230,Qasim Rege,Co-conspirator
KAR/HUB/2024/0814,Warjas Datta,Co-conspirator
KAR/SHI/2024/0970,Gagan Bajwa,Co-conspirator
KAR/BEN/2024/1653,Balhaar Vaidya,Primary Suspect
KAR/CHI/2024/1960,Vivaan Ram,Accomplice
KAR/BEN/2024/0471,Jyoti Biswas,Primary Suspect
KAR/CHI/2024/0017,Girish Sehgal,Accomplice
KAR/MAN/2024/1891,Hema Balan,Co-conspirator
KAR/KOL/2024/0523,Yug Sani,Primary Suspect
KAR/KOP/2024/1235,Parth Buch,Accomplice
KAR/BEN/2024/1536,Patrick Barman,Primary Suspect
KAR/DAV/2024/1154,Victor Thaker,Primary Suspect
KAR/BEN/2024/1171,Libni Dash,Accomplice
KAR/KAL/2024/0532,Gabriel Vaidya,Accomplice
KAR/KOP/2024/0162,Advaith Dhar,Primary Suspect
KAR/BID/2024/2290,Anthony Dhaliwal,Primary Suspect
KAR/RAI/2024/0226,Harrison Mangal,Accomplice
KAR/BEN/2024/2095,Ikbal Deo,Accomplice
KAR/KOP/2024/1677,Kashvi Som,Primary Suspect
KAR/BEN/2024/0680,Brijesh Agrawal,Accomplice
KAR/MAN/2024/0486,Unnati Gour,Co-conspirator
KAR/UDU/2024/2053,Zaid Kadakia,Co-conspirator
KAR/BEN/2024/2122,Om Banik,Primary Suspect
KAR/MYS/2024/2470,Rudra Majumdar,Co-conspirator
KAR/SHI/2024/0597,Pratyush Srinivasan,Co-conspirator
KAR/KAL/2024/1206,Ekanta Oak,Primary Suspect
KAR/BEN/2024/2402,Azad Dani,Primary Suspect
KAR/MYS/2024/1408,Imaran Mittal,Co-conspirator
KAR/BEN/2024/1898,Neelima Ganguly,Primary Suspect
KAR/MAN/2024/2417,Megha Sridhar,Co-conspirator
KAR/BEN/2024/0653,Libni Balasubramanian,Primary Suspect
KAR/MYS/2024/0335,Jagvi Korpal,Primary Suspect
KAR/KOP/2024/2340,Agastya Sarraf,Primary Suspect
KAR/BEN/2024/0190,Anmol Kalla,Primary Suspect
KAR/SHI/2024/0476,Ekbal Sawhney,Co-conspirator
KAR/UDU/2024/2100,Wahab Kunda,Primary Suspect
KAR/BEN/2024/2024,Fitan Wadhwa,Co-conspirator
KAR/DAV/2024/0115,Aayush Hayre,Co-conspirator
KAR/MAN/2024/1233,Samesh Wali,Primary Suspect
KAR/BEL/2024/1000,Brijesh Palla,Co-conspirator
KAR/HUB/2024/1966,Akshay Parmar,Primary Suspect
KAR/BEN/2024/0321,Sathvik Bhagat,Accomplice
KAR/BEN/2024/2397,Aarnav Char,Primary Suspect
KAR/BEN/2024/2178,Jackson Bal,Primary Suspect
KAR/DAV/2024/0097,Rohan Patla,Accomplice
KAR/BEN/2024/0505,Aayush Balakrishnan,Accomplice
KAR/BEN/2024/1936,Gautam Chaudhari,Accomplice
KAR/KOL/2024/1034,Harshil Hans,Accomplice
KAR/KOL/2024/0523,Saumya Varkey,Primary Suspect
KAR/BEN/2024/0174,Rushil Sagar,Co-conspirator
KAR/HAS/2024/2067,Girik Walia,Accomplice
KAR/BEN/2024/0675,Vansha Sem,Co-conspirator
KAR/TUM/2024/1777,Aarnav Nagar,Co-conspirator
KAR/MAN/2024/1732,Chandran Pingle,Primary Suspect
KAR/BEN/2024/0581,Triveni Sehgal,Primary Suspect
KAR/BEN/2024/0868,Lakshit Choudhury,Accomplice
KAR/BEN/2024/1642,Chatresh Ganguly,Co-conspirator
KAR/BEN/2024/2151,Mohammed Andra,Accomplice
KAR/CHI/2024/0791,Anmol Chander,Co-conspirator
KAR/MYS/2024/1066,Darpan Subramaniam,Co-conspirator
KAR/BEN/2024/0014,Nirja Goel,Co-conspirator
KAR/KOP/2024/1912,Tanveer Prasad,Co-conspirator
KAR/DAV/2024/0619,Lucky Deep,Primary Suspect
KAR/KAL/2024/1104,Devansh Sankaran,Primary Suspect
KAR/BEL/2024/0327,Anya Mann,Accomplice
KAR/BEN/2024/2279,Omisha Pai,Co-conspirator
KAR/MAN/2024/1994,Omkaar Bhatnagar,Co-conspirator
KAR/BEN/2024/0151,Yochana Atwal,Co-conspirator
KAR/KOP/2024/0251,Baljiwan Datta,Accomplice
KAR/BEN/2024/1155,Jonathan Bhardwaj,Accomplice
KAR/BEN/2024/1786,Yahvi Shere,Accomplice
KAR/KAL/2024/1357,Hredhaan Pai,Accomplice
KAR/SHI/2024/1246,Girindra Bhargava,Co-conspirator
KAR/BEN/2024/2022,Hritik Padmanabhan,Co-conspirator
KAR/BEN/2024/1096,Timothy Mishra,Co-conspirator
KAR/VIJ/2024/1462,Frederick Ramakrishnan,Accomplice
KAR/BEN/2024/2154,Faras Suresh,Accomplice
KAR/KOL/2024/0623,Manan Rau,Co-conspirator
KAR/TUM/2024/0841,Dayamai Kala,Accomplice
KAR/RAI/2024/0958,Balhaar Mand,Co-conspirator
KAR/DAV/2024/2072,Oni Khatri,Primary Suspect
KAR/BEN/2024/1229,Tanmayi Talwar,Primary Suspect
KAR/BEN/2024/0955,Sachi Goyal,Primary Suspect
KAR/TUM/2024/2068,Lila Nadig,Accomplice
KAR/TUM/2024/0549,Eta Goswami,Accomplice
KAR/BEN/2024/0926,Onkar Sinha,Co-conspirator
KAR/TUM/2024/0652,Theodore Chowdhury,Co-conspirator
KAR/BEN/2024/1795,Banjeet Shukla,Co-conspirator
KAR/SHI/2024/1608,Udant Badal,Accomplice
KAR/MYS/2024/2420,Vedhika Tripathi,Accomplice
KAR/BEN/2024/1118,Gayathri Padmanabhan,Primary Suspect
KAR/KAL/2024/2238,Teerth Borra,Accomplice
KAR/KAL/2024/0346,Yasti Contractor,Accomplice
KAR/BEN/2024/0680,Samaksh Jaggi,Accomplice
KAR/MYS/2024/1138,Girik Walia,Accomplice
KAR/BEN/2024/2386,Mason Kunda,Accomplice
KAR/BEN/2024/0522,Om Mohanty,Co-conspirator
KAR/BAL/2024/1682,Kalpit Gole,Co-conspirator
KAR/HUB/2024/0178,Hitesh Goswami,Co-conspirator
KAR/BEN/2024/0201,Parth Buch,Primary Suspect
KAR/BEN/2024/1255,Hredhaan Som,Accomplice
KAR/BEN/2024/2280,Vansha Iyer,Accomplice
KAR/MAN/2024/0228,Zaid Barman,Accomplice
KAR/BEL/2024/0870,Raghav Dua,Accomplice
KAR/CHI/2024/1416,Indrajit Boase,Accomplice
KAR/UDU/2024/0158,Imaran Badal,Accomplice
KAR/BID/2024/1285,Prisha Luthra,Co-conspirator
KAR/MYS/2024/1817,Onveer Venkatesh,Accomplice
KAR/RAI/2024/2132,Shravya Dhawan,Accomplice
KAR/BEN/2024/1857,Fitan Varty,Accomplice
KAR/KOL/2024/2124,Kiaan Chaudhry,Accomplice
KAR/BEN/2024/1097,Vinaya Balasubramanian,Accomplice
KAR/UDU/2024/1254,Kamya Boase,Primary Suspect
KAR/MAN/2024/1614,Nitesh Mander,Primary Suspect
KAR/VIJ/2024/2183,Simon Gulati,Primary Suspect
KAR/SHI/2024/2361,Matthew Bajaj,Accomplice
KAR/BAL/2024/0238,Vincent Bora,Accomplice
KAR/BEN/2024/1232,Abhiram Mani,Accomplice
KAR/CHI/2024/0769,Thomas Verma,Co-conspirator
KAR/BEL/2024/1811,Anay Sethi,Accomplice
KAR/CHI/2024/0631,Yashica Chana,Co-conspirator
KAR/DAV/2024/1324,Meghana Chada,Accomplice
KAR/BEN/2024/1467,Samuel Puri,Accomplice
KAR/UDU/2024/1902,Ryan Gole,Accomplice
KAR/BID/2024/1018,Yoshita Natt,Primary Suspect
KAR/BEN/2024/0467,Chameli Iyengar,Primary Suspect
KAR/BEN/2024/0775,Gautam Dey,Co-conspirator
KAR/BEN/2024/0375,Vivaan Anand,Accomplice
KAR/BAL/2024/2304,Warhi Kala,Accomplice
KAR/TUM/2024/0114,Lohit Bakshi,Accomplice
KAR/BEN/2024/2348,Jonathan Sen,Co-conspirator
KAR/BEN/2024/0710,Nathan Ben,Accomplice
KAR/BEN/2024/0840,Tanay Varkey,Co-conspirator
KAR/BEN/2024/1171,Gautam Chaudhari,Primary Suspect
KAR/MAN/2024/1167,Ekta Sankar,Co-conspirator
KAR/UDU/2024/0918,Yashoda Mani,Accomplice
KAR/BEN/2024/1308,Ranbir Johal,Primary Suspect
KAR/BEN/2024/0402,Harshil Bhalla,Primary Suspect
KAR/CHI/2024/0468,Hardik Kaul,Primary Suspect
KAR/BEN/2024/1315,Gavin Bassi,Co-conspirator
KAR/BEN/2024/0011,Christopher Sarraf,Primary Suspect
KAR/DAV/2024/0619,Daksh Venkatesh,Co-conspirator
KAR/BEN/2024/1569,Lekha Lata,Accomplice
KAR/HUB/2024/2493,Max Saxena,Accomplice
KAR/BEN/2024/0976,Gayathri Kade,Accomplice
KAR/BEL/2024/0584,Faqid Lall,Accomplice
KAR/BEN/2024/1884,Dakshesh Dave,Co-conspirator
KAR/SHI/2024/0553,Anusha Naidu,Accomplice
KAR/UDU/2024/0501,Ekbal Sarma,Primary Suspect
KAR/BID/2024/1269,Oni Prabhu,Co-conspirator
KAR/BEN/2024/0525,Gautam Amble,Primary Suspect
KAR/DAV/2024/2210,Teerth Khanna,Accomplice
KAR/TUM/2024/0460,Oliver Shah,Primary Suspect
KAR/BEN/2024/2113,Idika Gandhi,Primary Suspect
KAR/BEN/2024/0311,Max Hora,Primary Suspect
KAR/BEN/2024/0822,Max Hora,Primary Suspect
KAR/BEN/2024/1692,Ijaya Rout,Co-conspirator
KAR/BEN/2024/1744,Dakshesh Das,Primary Suspect
KAR/BAL/2024/2117,Zehaan Boase,Primary Suspect
KAR/BEN/2024/0307,Joshua Singhal,Co-conspirator
KAR/BEN/2024/0960,Gunbir Sur,Accomplice
KAR/HAS/2024/1420,Osha Sule,Accomplice
KAR/BEL/2024/0879,Onkar Oak,Co-conspirator
KAR/BEN/2024/1264,Shaurya Subramanian,Co-conspirator
KAR/UDU/2024/0601,Jagat Keer,Accomplice
KAR/SHI/2024/0659,Dhriti Keer,Primary Suspect
KAR/BID/2024/2395,Harrison Mangal,Accomplice
KAR/BEN/2024/0181,Ubika Walia,Accomplice
KAR/VIJ/2024/1260,Maanas Dar,Co-conspirator
KAR/SHI/2024/1525,Dhriti Keer,Primary Suspect
KAR/SHI/2024/1524,Vivaan Bajaj,Accomplice
KAR/BEN/2024/0662,Ojas Rajan,Co-conspirator
KAR/KOP/2024/1318,Xalak Dash,Primary Suspect
KAR/KOP/2024/1506,Samesh Prabhu,Primary Suspect
KAR/HUB/2024/0733,Widisha Kade,Accomplice
KAR/BEN/2024/0348,Hemal Kalla,Accomplice
KAR/BEN/2024/0815,Pallavi Gole,Co-conspirator
KAR/HUB/2024/1791,Chaitanya Ravel,Co-conspirator
KAR/SHI/2024/0845,Prisha Sarraf,Accomplice
KAR/MAN/2024/2245,Xavier Mander,Primary Suspect
KAR/CHI/2024/2205,Arjun Choudhary,Accomplice
KAR/BEN/2024/1171,Hredhaan Goyal,Co-conspirator
KAR/BEN/2024/2052,Sarthak Natt,Primary Suspect
KAR/KOL/2024/1303,Siddharth Konda,Co-conspirator
KAR/UDU/2024/0113,Manthan Kapadia,Accomplice
KAR/BEN/2024/2198,Ekapad Natt,Primary Suspect
KAR/BEN/2024/0217,Falan Banerjee,Primary Suspect
KAR/KOP/2024/0889,Pahal Dara,Primary Suspect
KAR/BEN/2024/2200,Irya Kakar,Accomplice
KAR/VIJ/2024/2311,Reyansh Sarkar,Primary Suspect
KAR/BEN/2024/2059,Chanakya Sood,Primary Suspect
KAR/BEN/2024/1852,Elijah Jha,Primary Suspect
KAR/SHI/2024/0888,Sarthak Natt,Co-conspirator
KAR/RAI/2024/1730,Gayathri Sem,Primary Suspect
KAR/BEN/2024/2035,Naksh Atwal,Accomplice
KAR/TUM/2024/0154,Peter Yogi,Accomplice
KAR/BEN/2024/1164,Frado Krish,Co-conspirator
KAR/TUM/2024/0770,Harrison Aggarwal,Co-conspirator
KAR/TUM/2024/1984,Ojas Som,Primary Suspect
KAR/BEN/2024/1266,Ayushman Mander,Accomplice
KAR/BEN/2024/1756,Jatin Mander,Co-conspirator
KAR/VIJ/2024/1957,Theodore Bawa,Primary Suspect
KAR/CHI/2024/0474,Rayaan Soni,Co-conspirator
KAR/BAL/2024/1842,Amol Sekhon,Accomplice
KAR/BEN/2024/1944,Fariq Venkatesh,Primary Suspect
KAR/BEN/2024/1670,Rachit Deol,Accomplice
KAR/MYS/2024/2050,Chandran Pal,Primary Suspect
KAR/KOL/2024/2322,Pranit Peri,Co-conspirator
KAR/BEN/2024/0855,Ekapad Mistry,Accomplice
KAR/BID/2024/2449,Widisha Kade,Accomplice
KAR/BEN/2024/2297,Patrick Peri,Primary Suspect
KAR/BEN/2024/1179,Matthew Agate,Primary Suspect
KAR/UDU/2024/1930,William Bhavsar,Primary Suspect
KAR/DAV/2024/2020,Pranit Hayre,Primary Suspect
KAR/BEL/2024/0098,Pranav Rau,Accomplice
KAR/HAS/2024/2309,Hitesh Thaman,Co-conspirator
KAR/RAI/2024/1832,Nathan Tiwari,Co-conspirator
KAR/BEN/2024/2193,Charvi Sheth,Co-conspirator
KAR/BEN/2024/1409,Harsh Toor,Primary Suspect
KAR/BEN/2024/2348,Nachiket Rai,Primary Suspect
KAR/BEL/2024/2295,Karan Gaba,Primary Suspect
KAR/SHI/2024/0552,Charles Kale,Primary Suspect
KAR/BEN/2024/2158,Nidra Wagle,Co-conspirator
KAR/BEN/2024/1546,Ikbal Gandhi,Primary Suspect
KAR/DAV/2024/1676,Advik Raval,Co-conspirator
KAR/BEN/2024/0931,Madhav Buch,Primary Suspect
KAR/BEL/2024/1561,Gayathri Bava,Accomplice
KAR/BEN/2024/0372,Gayathri Sem,Co-conspirator
