full_name,alias,age,gender,address,district_name,occupation,prior_convictions,modus_operandi,risk_score
Chaitanya Dhaliwal,,41,Male,"H.No. 02, Kari Zila",Mangaluru (Dakshina Kannada),Delivery Boy,0,Opportunistic crime,9
Teerth Brahmbhatt,,36,Male,"48/74, Malhotra Nagar",Kalaburagi,Laborer,0,Opportunistic crime,8
Bachittar Trivedi,Omya,28,Male,"H.No. 201, Narayanan Marg",Koppal,Delivery Boy,0,Opportunistic crime,32
Saksham Sachdev,Charan,48,Male,"H.No. 495, Chandran Path",Mandya,Laborer,0,Opportunistic crime,47
Falan Karpe,,39,Male,"54, Bhatt Circle",Vijayapura,Delivery Boy,0,Opportunistic crime,39
Zilmil Kota,,39,Female,"76/063, Bandi",Bidar,Mechanic,0,Opportunistic crime,16
Geetika Saraf,,28,Male,"H.No. 490, Anand Road",Bengaluru Urban,Vendor,1,Opportunistic crime,12
Ronith Raj,,32,Male,"76, Prashad Nagar",Bengaluru Urban,Driver,0,Opportunistic crime,33
Abhimanyu Suresh,Ekapad,29,Female,"729, Goyal Zila",Mangaluru (Dakshina Kannada),Mechanic,0,Opportunistic crime,5
Benjamin Nagi,,48,Male,"16/95, Saran Street",Chikkamagaluru,Delivery Boy,1,Opportunistic crime,31
Vivaan Mitra,Saksham,51,Male,"H.No. 051, Sama Ganj",Vijayapura,Driver,1,Opportunistic crime,35
Umang D’Alia,,24,Male,"233, Gola Marg",Bengaluru Urban,Unemployed,0,Opportunistic crime,26
Om Oommen,,22,Male,"H.No. 538, Thaman Zila",Kolar,Mechanic,0,Opportunistic crime,2
Jack Gill,,35,Male,"55/39, Rattan Path",Raichur,Delivery Boy,0,Opportunistic crime,1
Anmol Memon,,47,Female,"H.No. 12, Gaba Nagar",Davangere,Mechanic,0,Opportunistic crime,0
Frederick Sidhu,,23,Male,"95/61, Peri",Hassan,Vendor,0,Opportunistic crime,22
Qarin Thakur,,26,Male,"H.No. 47, Tara Ganj",Mysuru,Mechanic,0,Opportunistic crime,44
Daniel Kale,,35,Male,"H.No. 965, Iyer",Mysuru,Laborer,1,Opportunistic crime,47
Gabriel Sandal,,53,Male,"532, Badal Street",Chikkamagaluru,Unemployed,1,Opportunistic crime,45
Nachiket Dasgupta,,49,Male,"H.No. 377, Shroff Zila",Bengaluru Rural,Mechanic,1,Opportunistic crime,9
Advay Wable,,43,Male,"93, Buch Chowk",Mandya,Contractor,0,Opportunistic crime,30
Azad Bala,,40,Female,"H.No. 015, Chaudry Marg",Hubballi-Dharwad,Driver,2,Opportunistic crime,43
Oliver Chaudhary,Ekalinga,47,Female,"56/71, Prabhakar Zila",Bengaluru Urban,Laborer,0,Opportunistic crime,44
Devika Pandya,,19,Male,"36/724, Das Path",Mandya,Contractor,0,Opportunistic crime,50
Om Roy,Vanya,38,Female,"H.No. 976, Doctor",Ballari,Unemployed,0,Opportunistic crime,38
Jeevika Bobal,,53,Male,"H.No. 776, Rama Zila",Chikkamagaluru,Laborer,0,Opportunistic crime,10
Yashvi Dugar,,43,Male,"H.No. 773, Singh Ganj",Bidar,Delivery Boy,0,Opportunistic crime,18
Ganga Zachariah,Oviya,23,Male,"H.No. 663, Sahota Chowk",Tumakuru,Contractor,0,Opportunistic crime,22
Theodore Deshpande,,24,Male,"64, Venkatesh Circle",Mandya,Laborer,2,Opportunistic crime,25
Ekapad Gole,,31,Female,"057, Issac",Mysuru,Driver,0,Opportunistic crime,42
Sai Sampath,,23,Male,"34/017, Agrawal Marg",Bengaluru Rural,Mechanic,0,Opportunistic crime,15
Krishna Mital,,25,Female,"29/31, Ganesan Path",Koppal,Vendor,0,Opportunistic crime,18
Parth Bahl,Liam,24,Male,"H.No. 54, Sarna Road",Raichur,Laborer,0,Opportunistic crime,5
Madhav Koshy,,21,Male,"623, Chakraborty Circle",Bidar,Delivery Boy,0,Opportunistic crime,31
Gagan Gaba,,51,Female,"73, Badal Zila",Raichur,Unemployed,0,Opportunistic crime,1
Andrew Goda,Aadhya,42,Female,"69/85, Dhillon Chowk",Mysuru,Delivery Boy,1,Opportunistic crime,31
Yashawini Vaidya,,18,Female,"H.No. 45, Kulkarni",Bidar,Unemployed,0,Opportunistic crime,40
Udarsh Amble,Zarna,25,Male,"H.No. 43, Wali Nagar",Vijayapura,Unemployed,0,Opportunistic crime,8
Manthan Gandhi,Pratyush,19,Male,"69/448, Talwar Road",Shivamogga,Driver,0,Opportunistic crime,39
Dhruv Sheth,,54,Male,"55/83, Bhasin Circle",Hassan,Vendor,0,Opportunistic crime,1
Frado Bahl,Veer,51,Male,"45/897, Narayanan",Kalaburagi,Driver,1,Opportunistic crime,8
Neel Dhaliwal,,42,Male,"220, Dhawan Nagar",Hassan,Unemployed,0,Opportunistic crime,38
Sudiksha Chana,,44,Male,"58, Bassi Chowk",Bengaluru Rural,Delivery Boy,0,Opportunistic crime,48
Abeer Bakshi,,34,Male,"00/398, Nayak Marg",Vijayapura,Vendor,0,Opportunistic crime,8
Caleb Gokhale,Lavanya,40,Male,"230, Raj",Kalaburagi,Contractor,0,Opportunistic crime,7
Unnati Suresh,,48,Male,"18/047, Bhardwaj Road",Kolar,Vendor,0,Opportunistic crime,42
Veer Edwin,,45,Male,"99/253, Setty Street",Belagavi,Contractor,0,Opportunistic crime,11
Arya Jaggi,,26,Male,"H.No. 28, Verma Road",Kalaburagi,Driver,1,Opportunistic crime,32
Ikshita Ramaswamy,,44,Male,"H.No. 06, Kalla Zila",Hubballi-Dharwad,Mechanic,0,Opportunistic crime,16
Gopal Jain,,52,Male,"H.No. 323, Mani Street",Bengaluru Urban,Unemployed,1,Opportunistic crime,47
Yashodhara Chad,Luke,52,Male,"05/411, Pandit Nagar",Kalaburagi,Driver,0,Opportunistic crime,18
Isaac Parikh,,25,Male,"635, Ghose Path",Belagavi,Mechanic,1,Opportunistic crime,9
Henry Shetty,,51,Male,"H.No. 923, Hans Nagar",Kolar,Laborer,1,Opportunistic crime,32
Rushil Borde,,29,Male,"266, Sani Path",Belagavi,Mechanic,0,Opportunistic crime,13
Fariq Hegde,,50,Male,"168, Khalsa Ganj",Chikkamagaluru,Unemployed,1,Opportunistic crime,47
Quincy Warrior,,20,Male,"H.No. 730, Mohanty Nagar",Hubballi-Dharwad,Vendor,0,Opportunistic crime,2
Theodore Tandon,Fariq,20,Male,"152, Nanda Nagar",Tumakuru,Delivery Boy,0,Opportunistic crime,43
Yash Desai,,45,Male,"60/88, Hayre Circle",Mysuru,Driver,0,Opportunistic crime,44
Benjamin Dhingra,Bhavini,29,Female,"372, Naidu Chowk",Bengaluru Rural,Driver,0,Opportunistic crime,4
Ranbir Bhargava,Nakul,45,Male,"08/18, Tella Street",Hassan,Driver,0,Opportunistic crime,28
Tanay Merchant,Brinda,47,Male,"H.No. 991, Pall Chowk",Mandya,Delivery Boy,0,Opportunistic crime,48
Triya Divan,,51,Male,"50/34, Bawa Nagar",Koppal,Contractor,1,Opportunistic crime,33
Luke Dara,,29,Male,"76, Sabharwal Nagar",Shivamogga,Delivery Boy,0,Opportunistic crime,37
Imaran Keer,Oliver,31,Male,"96/50, Char Marg",Raichur,Delivery Boy,0,Opportunistic crime,44
Dayamai Misra,,35,Male,"19/56, Karnik Nagar",Bengaluru Urban,Unemployed,0,Opportunistic crime,30
Karan Patil,,45,Female,"08/42, Ratti Ganj",Udupi,Mechanic,0,Opportunistic crime,6
Nihal Gera,,18,Male,"42, Lanka Road",Mysuru,Delivery Boy,0,Opportunistic crime,7
Patrick Kara,Liam,36,Male,"47/36, Dixit Road",Mangaluru (Dakshina Kannada),Unemployed,0,Opportunistic crime,4
Faris Purohit,,52,Male,"H.No. 361, Raman Marg",Bengaluru Urban,Mechanic,0,Opportunistic crime,39
Gaurang Mann,,44,Male,"833, Nagi Ganj",Bengaluru Urban,Laborer,0,Opportunistic crime,25
Gautam Master,Finn,36,Male,"97, Guha Road",Tumakuru,Unemployed,0,Opportunistic crime,36
Azaan Viswanathan,,46,Male,"72/03, Soni Marg",Vijayapura,Unemployed,0,Opportunistic crime,25
Faqid Chadha,Fariq,43,Male,"64/079, Sachar Road",Koppal,Vendor,1,Opportunistic crime,36
Harrison Ramakrishnan,Simon,50,Male,"68/66, Chaudhary Road",Mandya,Delivery Boy,2,Opportunistic crime,20
George Ravel,,24,Male,"05/33, Yogi Nagar",Raichur,Delivery Boy,1,Opportunistic crime,10
Lucky Sura,,41,Male,"440, Kaul Chowk",Chikkamagaluru,Laborer,0,Opportunistic crime,7
Max Mital,,49,Male,"40/599, Dhar Nagar",Kalaburagi,Delivery Boy,0,Opportunistic crime,40
Anirudh Sule,Wahab,31,Female,"74/83, Prakash Road",Raichur,Unemployed,0,Opportunistic crime,27
Kalpit Gola,Omaja,21,Male,"15/686, Sridhar Nagar",Raichur,Mechanic,1,Opportunistic crime,10
Azaan Sule,,31,Female,"10/837, Swamy Circle",Davangere,Mechanic,0,Opportunistic crime,46
Ojas Gade,,24,Male,"H.No. 386, Shukla Nagar",Kalaburagi,Vendor,0,Opportunistic crime,11
Ayushman Roy,Warinder,53,Female,"H.No. 20, Dhingra Nagar",Mysuru,Delivery Boy,1,Opportunistic crime,20
Chaaya Natt,Priya,21,Male,"01/64, Bera Path",Bengaluru Urban,Mechanic,0,Opportunistic crime,43
Nathan Dasgupta,Ubika,23,Male,"61/906, Reddy Road",Tumakuru,Vendor,0,Opportunistic crime,0
Mohammed Kade,,38,Male,"33/64, Mall Path",Shivamogga,Unemployed,0,Opportunistic crime,41
Harinakshi Srinivas,Shivani,25,Male,"90/096, Kakar Zila",Udupi,Laborer,0,Opportunistic crime,9
Anirudh Parmer,,28,Male,"H.No. 81, Kapoor Ganj",Shivamogga,Contractor,0,Opportunistic crime,11
Hemang Dar,,20,Male,"95, Buch Zila",Mandya,Contractor,0,Opportunistic crime,16
Anmol Madan,,48,Female,"H.No. 761, Naidu Nagar",Bengaluru Rural,Laborer,0,Opportunistic crime,47
Yashodhara Roy,Kiaan,20,Male,"H.No. 696, Wadhwa Road",Hassan,Unemployed,0,Opportunistic crime,42
Xavier Thakur,Turvi,44,Male,"534, Mann Road",Bengaluru Rural,Mechanic,0,Opportunistic crime,40
Bachittar Bala,Anjali,51,Female,"89/37, Dasgupta Circle",Udupi,Contractor,0,Opportunistic crime,4
Krishna Nayar,,52,Male,"01/06, Kannan Ganj",Bidar,Mechanic,0,Opportunistic crime,12
Yasti Garde,,19,Female,"413, Madan Marg",Kalaburagi,Driver,0,Opportunistic crime,35
Jai Choudhry,,23,Male,"67, Ratta Street",Belagavi,Laborer,0,Opportunistic crime,48
Ranbir Sridhar,,35,Male,"H.No. 01, Vala Nagar",Bengaluru Urban,Unemployed,1,Opportunistic crime,42
Laban Sani,,25,Male,"83/427, Dara Marg",Mandya,Laborer,0,Opportunistic crime,26
Pranit Kant,,55,Female,"H.No. 711, Parmar Marg",Mangaluru (Dakshina Kannada),Contractor,0,Opportunistic crime,13
Yatin Dara,,21,Female,"624, Kade Road",Kolar,Unemployed,0,Opportunistic crime,10
Harshil Thakkar,,43,Male,"H.No. 690, Kamdar Nagar",Bengaluru Rural,Vendor,0,Opportunistic crime,39
Ekalinga Dar,Victor,23,Male,"66/68, Raj Street",Davangere,Laborer,0,Opportunistic crime,46
Luke Khosla,,22,Male,"H.No. 90, Dayal Path",Mangaluru (Dakshina Kannada),Vendor,1,Opportunistic crime,23
Azad Rai,,28,Male,"62/102, Upadhyay Nagar",Ballari,Vendor,0,Opportunistic crime,48
Vincent Rau,,38,Male,"H.No. 03, Gade Circle",Mysuru,Contractor,0,Opportunistic crime,47
Ryan Narula,,50,Male,"82/918, Shanker Street",Mysuru,Delivery Boy,0,Opportunistic crime,13
Jasmit Minhas,,48,Male,"92/43, Brar Chowk",Udupi,Driver,0,Opportunistic crime,32
Oliver Guha,,36,Male,"40/74, Garg Road",Bidar,Driver,2,Opportunistic crime,17
Upkaar Viswanathan,,20,Male,"04, Sastry Zila",Raichur,Contractor,0,Opportunistic crime,40
Darsh Subramaniam,,23,Male,"97, Walia",Ballari,Vendor,0,Opportunistic crime,0
Tanay Swamy,Pooja,33,Male,"94/34, Chahal Circle",Mandya,Vendor,1,Opportunistic crime,43
Hemangini Amble,,54,Male,"09/532, Bansal Chowk",Udupi,Driver,1,Opportunistic crime,16
Peter Aggarwal,David,20,Male,"30, Dada Nagar",Kalaburagi,Laborer,0,Opportunistic crime,6
Adya Bose,,37,Male,"39/118, Bora Ganj",Shivamogga,Unemployed,0,Opportunistic crime,15
Wazir Karpe,,26,Female,"90/12, Bhatia",Davangere,Mechanic,0,Opportunistic crime,16
Girindra Varty,,32,Male,"H.No. 369, Mani Marg",Tumakuru,Driver,0,Opportunistic crime,35
Pahal Sahota,,49,Female,"58/29, Sani Chowk",Raichur,Laborer,0,Opportunistic crime,24
Victor Kuruvilla,,34,Male,"33/759, Dhaliwal Path",Hassan,Laborer,0,Opportunistic crime,42
Anay Pandya,,23,Male,"510, Saha",Udupi,Laborer,0,Opportunistic crime,33
Mahika Bhagat,,50,Male,"51/11, Kaul Circle",Chikkamagaluru,Contractor,0,Opportunistic crime,31
Ekta Sant,,36,Male,"944, Chaudhary Street",Vijayapura,Unemployed,0,Opportunistic crime,49
Harshil Shukla,,33,Male,"41/126, Chacko Ganj",Mangaluru (Dakshina Kannada),Mechanic,0,Opportunistic crime,31
Ethan Karnik,,48,Male,"492, Thaman Zila",Koppal,Contractor,1,Opportunistic crime,31
Chaitanya Sani,,23,Female,"38, Prashad Nagar",Mysuru,Contractor,0,Opportunistic crime,21
Nachiket Menon,Gautam,53,Female,"87, Shan",Ballari,Mechanic,2,Opportunistic crime,14
Daniel Swamy,,41,Female,"88/993, Sama Marg",Hassan,Unemployed,1,Opportunistic crime,9
Amol Baria,,50,Male,"326, Sekhon Chowk",Bengaluru Rural,Unemployed,1,Opportunistic crime,40
Gautam Balakrishnan,,20,Male,"111, Sodhi Nagar",Shivamogga,Unemployed,0,Opportunistic crime,40
Aadi Bhandari,,22,Female,"26, Oak Zila",Bengaluru Urban,Contractor,0,Opportunistic crime,44
Girish Raman,Henry,22,Female,"49, Kumar",Bidar,Driver,1,Opportunistic crime,21
Devika Wable,,51,Female,"H.No. 010, Chana Street",Bengaluru Urban,Unemployed,0,Opportunistic crime,8
Amol Warrior,,28,Male,"48/23, Tank Road",Hubballi-Dharwad,Delivery Boy,0,Opportunistic crime,8
Ethan Toor,,54,Male,"84/895, Baral Marg",Mysuru,Unemployed,0,Opportunistic crime,40
Qarin Sekhon,Vasana,23,Male,"253, Merchant Marg",Hubballi-Dharwad,Laborer,0,Opportunistic crime,25
Gabriel Bail,,53,Male,"50, Nath Road",Bengaluru Rural,Driver,0,Opportunistic crime,19
Jagrati Murthy,Samesh,19,Male,"H.No. 319, Vaidya Path",Vijayapura,Vendor,1,Opportunistic crime,35
Jonathan Pall,,54,Male,"H.No. 891, Soni Circle",Belagavi,Driver,0,Opportunistic crime,43
Rehaan Brar,,29,Male,"92, Bhavsar Path",Shivamogga,Laborer,0,Opportunistic crime,6
Manan Dar,,29,Female,"H.No. 362, Ganesh Marg",Davangere,Contractor,1,Opportunistic crime,31
Samar Dani,Zarna,23,Male,"H.No. 665, Seshadri Chowk",Bengaluru Rural,Delivery Boy,0,Opportunistic crime,29
Aarush Wable,,20,Male,"H.No. 76, Sem Street",Kolar,Vendor,1,Opportunistic crime,19
Krish Sahni,Ayushman,39,Male,"H.No. 218, Garg Street",Mangaluru (Dakshina Kannada),Vendor,1,Opportunistic crime,42
Pranav Kapadia,,47,Male,"27/185, Seth Circle",Kalaburagi,Unemployed,0,Opportunistic crime,46
Fiyaz Borra,,19,Female,"24/818, Parmer Marg",Udupi,Delivery Boy,0,Opportunistic crime,29
Shivansh Char,,34,Female,"997, Krishnan Ganj",Tumakuru,Delivery Boy,0,Opportunistic crime,37
Maanav Dhaliwal,,25,Female,"H.No. 58, Gade Road",Davangere,Contractor,0,Opportunistic crime,31
Yatin Tandon,,47,Male,"80/563, Dass Chowk",Shivamogga,Contractor,0,Opportunistic crime,44
Pranav Halder,Umang,18,Male,"07/828, Mitra Zila",Koppal,Vendor,0,Opportunistic crime,42
Chasmum Kamdar,Balhaar,38,Male,"14/95, Sane Marg",Belagavi,Delivery Boy,0,Opportunistic crime,46
Michael Gandhi,,26,Male,"20/808, Bawa Circle",Bidar,Laborer,0,Opportunistic crime,17
Shaurya Luthra,Inaya,35,Male,"H.No. 90, Lad Circle",Bengaluru Rural,Contractor,1,Opportunistic crime,13
Hema Jhaveri,,30,Male,"35/797, Jhaveri Road",Shivamogga,Mechanic,0,Opportunistic crime,21
Suhani Grover,Pallavi,48,Male,"355, Ganesan Path",Bengaluru Urban,Delivery Boy,0,Opportunistic crime,26
Parth Thaman,,47,Female,"H.No. 08, Gopal",Koppal,Driver,0,Opportunistic crime,39
Naveen Talwar,,53,Male,"H.No. 28, Pau Nagar",Raichur,Driver,0,Opportunistic crime,2
Reyansh Chanda,,19,Male,"H.No. 076, Ramanathan",Kalaburagi,Mechanic,1,Opportunistic crime,33
Chatura Sharaf,,28,Male,"H.No. 19, Doctor",Ballari,Delivery Boy,0,Opportunistic crime,36
Girik Bhavsar,,23,Male,"63/01, Mukherjee Zila",Chikkamagaluru,Unemployed,0,Opportunistic crime,48
Eshana Gandhi,,24,Male,"30/210, Raman",Vijayapura,Contractor,0,Opportunistic crime,44
Vidhi Hari,Nakul,24,Female,"50, Chopra Zila",Mysuru,Contractor,0,Opportunistic crime,32
Ayushman Dasgupta,,53,Male,"H.No. 172, Sabharwal Ganj",Mangaluru (Dakshina Kannada),Vendor,0,Opportunistic crime,18
Qabil Singh,,18,Male,"63, Kari Zila",Bengaluru Urban,Unemployed,0,Opportunistic crime,34
Dalbir Pillay,,53,Female,"H.No. 56, Reddy Circle",Raichur,Contractor,0,Opportunistic crime,23
Azad Shankar,,39,Male,"995, Mangat Circle",Mandya,Mechanic,0,Opportunistic crime,37
Ridhi Kanda,Ekiya,26,Male,"123, Sangha Road",Bengaluru Rural,Vendor,2,Opportunistic crime,38
Wahab Saini,,23,Male,"83/548, Ranganathan Circle",Kalaburagi,Vendor,1,Opportunistic crime,37
Upma Bandi,,38,Female,"H.No. 07, Rege Circle",Hassan,Laborer,1,Opportunistic crime,38
Anthony Ram,,55,Male,"76/987, Rattan",Mandya,Delivery Boy,0,Opportunistic crime,46
Zehaan Mody,Nirja,19,Female,"92/51, Kakar Marg",Bengaluru Rural,Driver,0,Opportunistic crime,47
Harshil Babu,,52,Female,"79/64, Bal Nagar",Vijayapura,Laborer,0,Opportunistic crime,41
Falan Sahota,Odika,28,Male,"46, Lala Zila",Vijayapura,Laborer,0,Opportunistic crime,3
Aarush Badal,Agastya,48,Female,"H.No. 90, Hegde Chowk",Davangere,Vendor,0,Opportunistic crime,45
Chakradev Khatri,Ubika,54,Male,"H.No. 574, Sama Circle",Hassan,Vendor,0,Opportunistic crime,8
Jalsa Lad,,24,Male,"H.No. 127, Mammen Nagar",Udupi,Contractor,0,Opportunistic crime,12
Krishna Hari,,26,Male,"77/169, Kakar Marg",Hubballi-Dharwad,Driver,0,Opportunistic crime,42
Pallavi Gill,,42,Male,"H.No. 159, Aggarwal Road",Tumakuru,Driver,0,Opportunistic crime,47
Baljiwan Tailor,,54,Male,"48/36, Rau Ganj",Mandya,Contractor,0,Opportunistic crime,24
Ayush Ramanathan,,46,Male,"595, Setty Nagar",Bengaluru Urban,Delivery Boy,0,Opportunistic crime,9
Ucchal Koshy,,19,Male,"17, Kadakia Ganj",Chikkamagaluru,Mechanic,0,Opportunistic crime,1
Rehaan Sharaf,,51,Male,"21/066, Sharaf Chowk",Mandya,Contractor,0,Opportunistic crime,23
Yagnesh Randhawa,,19,Male,"60, Rana Path",Hassan,Driver,0,Opportunistic crime,8
George Maharaj,,47,Male,"H.No. 243, Radhakrishnan Circle",Bengaluru Rural,Laborer,1,Opportunistic crime,0
Liam Goel,,28,Male,"785, Nayak Ganj",Kalaburagi,Driver,1,Opportunistic crime,36
Chakradhar Bandi,Alexander,42,Female,"70/897, Tara Marg",Hubballi-Dharwad,Vendor,0,Opportunistic crime,20
Zehaan Mannan,Wazir,27,Female,"57/504, Nadkarni Street",Ballari,Delivery Boy,0,Opportunistic crime,27
Joshua Prasad,,30,Male,"66/67, Mangat Marg",Koppal,Contractor,0,Opportunistic crime,50
Aarnav Thakur,,51,Male,"728, Aurora",Bengaluru Rural,Vendor,1,Opportunistic crime,2
Mason Tara,,19,Male,"H.No. 02, Dani Path",Davangere,Laborer,0,Opportunistic crime,4
Ojas Mahajan,,25,Male,"H.No. 220, Saraf Nagar",Kalaburagi,Laborer,1,Opportunistic crime,26
Ojas Sem,,50,Male,"36, Sunder Street",Tumakuru,Delivery Boy,0,Opportunistic crime,3
Meera Koshy,Ishanvi,26,Male,"795, Sachdev Marg",Chikkamagaluru,Vendor,0,Opportunistic crime,32
Peter Boase,Akshay,23,Female,"073, Rau Ganj",Hassan,Mechanic,1,Opportunistic crime,48
Aarav Gill,,53,Male,"93/352, Modi Zila",Bengaluru Urban,Contractor,0,Opportunistic crime,9
Tristan Barad,Yash,27,Male,"H.No. 67, Barad Road",Bengaluru Urban,Delivery Boy,1,Opportunistic crime,30
Sudiksha Rama,,27,Female,"H.No. 80, Kapadia Zila",Bidar,Delivery Boy,1,Opportunistic crime,5
Parth Jhaveri,Balhaar,33,Female,"09/86, Gupta Circle",Belagavi,Vendor,0,Opportunistic crime,31
Warinder Morar,,32,Male,"H.No. 343, Behl Marg",Bengaluru Rural,Unemployed,2,Opportunistic crime,19
Omkaar Nagar,Madhav,49,Male,"H.No. 37, Kumer Path",Mysuru,Unemployed,0,Opportunistic crime,15
Indrajit Mander,,35,Male,"H.No. 55, Issac Chowk",Kolar,Laborer,0,Opportunistic crime,35
Zashil Venkataraman,,43,Female,"H.No. 145, Grover Path",Bidar,Contractor,0,Opportunistic crime,26
Chaitanya Palla,,50,Male,"H.No. 05, Deo Zila",Chikkamagaluru,Contractor,0,Opportunistic crime,17
Nidhi Wadhwa,Chatresh,39,Male,"70, Uppal Chowk",Raichur,Delivery Boy,0,Opportunistic crime,34
Falak Nadig,Zilmil,40,Male,"36/511, Barad Circle",Kolar,Vendor,0,Opportunistic crime,24
Divya Bali,,36,Female,"H.No. 446, Tandon Marg",Chikkamagaluru,Laborer,0,Opportunistic crime,40
Guneet Rai,,43,Male,"H.No. 497, Grover Street",Hubballi-Dharwad,Unemployed,0,Opportunistic crime,37
Pratyush Madan,,24,Male,"H.No. 95, Nair Path",Bidar,Vendor,2,Opportunistic crime,43
Zehaan Vyas,,43,Male,"47, Krishnamurthy Road",Mysuru,Driver,0,Opportunistic crime,1
Laksh Sengupta,,23,Female,"H.No. 622, Bala Circle",Raichur,Mechanic,1,Opportunistic crime,28
Balendra Dar,Liam,35,Female,"06/035, Mital Chowk",Tumakuru,Mechanic,0,Opportunistic crime,22
Gagan Tara,,28,Male,"19/21, Sha Circle",Hassan,Unemployed,1,Opportunistic crime,6
Tarak Palla,,34,Male,"H.No. 95, Raghavan Circle",Mysuru,Laborer,0,Opportunistic crime,33
Yatan Rajan,,47,Male,"85, Wali",Ballari,Vendor,0,Opportunistic crime,10
Ryan Bail,,45,Male,"318, Mishra",Koppal,Laborer,0,Opportunistic crime,27
Lavanya Lad,,39,Male,"07/48, Rege Road",Mysuru,Vendor,1,Opportunistic crime,33
Ayush Sankar,,32,Male,"H.No. 23, Mishra Ganj",Bidar,Driver,1,Opportunistic crime,8
Diya Brahmbhatt,,39,Male,"94, Pandya",Raichur,Mechanic,0,Opportunistic crime,37
Rudra Bhatia,,37,Male,"H.No. 81, Sandal Circle",Tumakuru,Laborer,1,Opportunistic crime,30
Deepa Parmer,,23,Female,"H.No. 57, Deep Street",Bengaluru Urban,Vendor,1,Opportunistic crime,47
Vrishti Varghese,,53,Male,"23, Kothari",Chikkamagaluru,Driver,0,Opportunistic crime,5
Abdul Sanghvi,Udyati,27,Female,"131, Vora Chowk",Vijayapura,Mechanic,0,Opportunistic crime,13
Ayush Swamy,,50,Male,"34/439, Sood Road",Chikkamagaluru,Vendor,0,Opportunistic crime,11
Aditya Karnik,Ekanta,29,Male,"92/449, Loke Street",Hubballi-Dharwad,Unemployed,0,Opportunistic crime,33
Yatin Loke,Chanchal,33,Male,"H.No. 849, Sundaram",Ballari,Laborer,0,Opportunistic crime,31
Kabir Kanda,Azaan,45,Male,"98, Saran Chowk",Belagavi,Delivery Boy,2,Opportunistic crime,5
Brijesh Kohli,Fitan,18,Female,"06/18, Bahl Path",Bidar,Unemployed,0,Opportunistic crime,7
Max Ghose,,23,Male,"91/784, Gokhale Ganj",Shivamogga,Mechanic,0,Opportunistic crime,50
Sai Modi,,48,Male,"11, Dasgupta Chowk",Udupi,Driver,0,Opportunistic crime,23
Chameli Sampath,,22,Female,"07, Kakar Zila",Belagavi,Unemployed,0,Opportunistic crime,21
Rohan Dixit,Omisha,36,Male,"88/61, Lad",Bengaluru Rural,Vendor,0,Opportunistic crime,48
Aarna Yogi,Osha,28,Male,"58, Toor Chowk",Davangere,Mechanic,2,Opportunistic crime,27
Lohit Garde,,52,Male,"71/022, Sidhu",Chikkamagaluru,Mechanic,1,Opportunistic crime,24
Rehaan Char,Simon,37,Male,"H.No. 59, Bakshi Zila",Chikkamagaluru,Driver,0,Opportunistic crime,32
Faras Pall,Zehaan,19,Female,"H.No. 992, Grewal Marg",Koppal,Vendor,2,Opportunistic crime,36
Chatresh Mishra,,23,Male,"21/132, Datta Chowk",Bengaluru Rural,Laborer,1,Opportunistic crime,34
Naksh Jani,,45,Female,"13/31, Chopra Chowk",Raichur,Laborer,0,Opportunistic crime,31
Banjeet Baria,,42,Male,"H.No. 313, Rajan Path",Chikkamagaluru,Contractor,1,Opportunistic crime,4
Sanya Agarwal,,47,Male,"68, Upadhyay Road",Udupi,Vendor,0,Opportunistic crime,49
Timothy Guha,,55,Male,"H.No. 29, Chhabra Ganj",Bengaluru Urban,Contractor,2,Opportunistic crime,46
Dhruv Jayaraman,,38,Male,"H.No. 234, Lal Road",Mandya,Driver,2,Opportunistic crime,17
Gautami Hari,,34,Male,"577, Acharya Chowk",Tumakuru,Laborer,0,Opportunistic crime,46
Yagnesh Sundaram,,27,Male,"48/81, Wagle Circle",Ballari,Mechanic,0,Opportunistic crime,4
Orinder Khatri,Vaishnavi,47,Female,"83, Yadav",Belagavi,Mechanic,1,Opportunistic crime,24
Ayushman Suresh,Wridesh,40,Female,"508, More Chowk",Ballari,Unemployed,0,Opportunistic crime,13
Anirudh Singh,,32,Female,"H.No. 167, Balakrishnan Road",Kalaburagi,Unemployed,0,Opportunistic crime,40
Wyatt Chowdhury,Ekaraj,47,Male,"64, Borde Nagar",Chikkamagaluru,Mechanic,1,Opportunistic crime,50
Zinal Mukherjee,,26,Male,"H.No. 400, Garg Circle",Raichur,Unemployed,0,Opportunistic crime,11
Baljiwan Sarma,,33,Male,"57/30, Doshi Zila",Shivamogga,Mechanic,0,Opportunistic crime,25
Shaurya Warrior,,55,Male,"65, Mittal Chowk",Mangaluru (Dakshina Kannada),Unemployed,1,Opportunistic crime,0
Tarak Ravi,,42,Male,"12, Dave Chowk",Bengaluru Urban,Delivery Boy,0,Opportunistic crime,33
Ishaan Prasad,,42,Male,"75/757, Chaudhari Road",Vijayapura,Contractor,0,Opportunistic crime,2
Balhaar Sathe,,48,Male,"13/954, Rattan Nagar",Bidar,Vendor,0,Opportunistic crime,37
Praneel Kale,Aadi,31,Male,"564, Mallick Street",Chikkamagaluru,Contractor,0,Opportunistic crime,16
Darika Bhalla,Hitesh,41,Female,"H.No. 795, Bir Chowk",Raichur,Mechanic,0,Opportunistic crime,32
