fir_case_number,victim_full_name
KAR/BEL/2024/0604,Utkarsh Rastogi
KAR/RAI/2024/0605,Banjeet Thaman
KAR/MYS/2024/0606,Sathvik Krishna
KAR/BEN/2024/0607,Peter Grewal
KAR/MYS/2024/0608,Falguni Dhar
KAR/MAN/2024/0609,Ekalinga Rattan
KAR/DAV/2024/0610,Hemal Baria
KAR/SHI/2024/0611,Damini Comar
KAR/SHI/2024/0612,Dev Jayaraman
KAR/BEN/2024/0613,Viraj Aurora
KAR/BEN/2024/0614,Ranveer Agate
KAR/VIJ/2024/0615,Anjali Wali
KAR/BEL/2024/0616,Gavin Sodhi
KAR/KOL/2024/0617,Sachi Ahluwalia
KAR/BEN/2024/0618,William Mand
KAR/BAL/2024/0619,Yug Buch
KAR/UDU/2024/0620,Ojasvi Bhagat
KAR/VIJ/2024/0621,Pratyush Mall
KAR/BEN/2024/0622,Vaishnavi Ratta
KAR/UDU/2024/0623,Rachana Viswanathan
KAR/BEN/2024/0624,Vedant Lal
KAR/RAI/2024/0625,Orinder Tripathi
KAR/TUM/2024/0626,Neelima Sundaram
KAR/BEN/2024/0627,Ishwar Bhakta
KAR/CHI/2024/0628,Charan Bose
KAR/BEN/2024/0629,Hemang Suri
KAR/MAN/2024/0630,Vinaya Singh
KAR/MYS/2024/0631,Madhavi Khanna
KAR/BAL/2024/0632,Kala Biswas
KAR/BEN/2024/0633,Vihaan Bala
KAR/BID/2024/0634,Matthew Mammen
KAR/MYS/2024/0635,Elijah Deo
KAR/KOP/2024/0636,Jagrati Nayak
KAR/BEN/2024/0637,Rajata Mohanty
KAR/DAV/2024/0638,Anirudh Kumer
KAR/TUM/2024/0639,Girik Ganesan
KAR/MYS/2024/0640,Balvan Divan
KAR/KOP/2024/0641,Maanav Tandon
KAR/BID/2024/0642,Vrishti Pillai
KAR/BEN/2024/0643,Aditya Kothari
KAR/KOP/2024/0644,Fitan Nagy
KAR/BAL/2024/0645,Yachana Thakur
KAR/BEN/2024/0646,Devansh Bains
KAR/SHI/2024/0647,Mahika Kakar
KAR/UDU/2024/0648,Krish Ranganathan
KAR/UDU/2024/0649,Jalsa Khanna
KAR/BEN/2024/0650,Priya Patla
KAR/BEN/2024/0651,Yoshita Sarma
KAR/KOL/2024/0652,Samarth Shah
KAR/BEN/2024/0653,Michael Gola
KAR/MYS/2024/0654,Abhimanyu Chaudhuri
KAR/BEN/2024/0655,Ira Chhabra
KAR/KOL/2024/0656,Kamala Mukhopadhyay
KAR/UDU/2024/0657,Aashi Bava
KAR/KOP/2024/0658,William Barad
KAR/HAS/2024/0659,Maya Kumar
KAR/BEN/2024/0660,Tarak Kanda
KAR/MAN/2024/0661,Hemang Sankar
KAR/MAN/2024/0662,Yash Dugar
KAR/BEN/2024/0663,Nidra Goel
KAR/BEN/2024/0664,Geetika Dhingra
KAR/MAN/2024/0665,Ikbal Swamy
KAR/TUM/2024/0666,Barkha Tara
KAR/VIJ/2024/0667,Lakshmi Agarwal
KAR/HAS/2024/0668,Oviya Kar
KAR/DAV/2024/0669,Om Krishnamurthy
KAR/HAS/2024/0670,Avi Gola
KAR/BEN/2024/0671,Onveer Sankar
KAR/BEN/2024/0672,Ladli Chandran
KAR/DAV/2024/0673,Watika Sur
KAR/RAI/2024/0674,Owen Walia
KAR/HUB/2024/0675,Zayan Vig
KAR/HAS/2024/0676,Tamanna Roy
KAR/BEN/2024/0677,Chavvi Bhandari
KAR/KOP/2024/0678,Bahadurjit Narain
KAR/BEN/2024/0679,Akshay Thaker
KAR/TUM/2024/0680,Vamakshi Rai
KAR/HUB/2024/0681,Upkaar Garg
KAR/CHI/2024/0682,Jeevika Brahmbhatt
KAR/BEN/2024/0683,Bahadurjit Sawhney
KAR/KOL/2024/0684,Utkarsh Ahuja
KAR/TUM/2024/0685,Bhavika Chahal
KAR/VIJ/2024/0686,Neel Pau
KAR/MAN/2024/0687,Darika Garde
KAR/BEN/2024/0688,Triya Doctor
KAR/KOP/2024/0689,Chasmum Saini
KAR/KOP/2024/0690,Christopher Mander
KAR/MYS/2024/0691,Widisha Narang
KAR/DAV/2024/0692,Nandini Brahmbhatt
KAR/SHI/2024/0693,Saanvi Bath
KAR/BEN/2024/0694,Balveer Raval
KAR/HAS/2024/0695,Bhavani Mittal
KAR/BEN/2024/0696,Qadim Bala
KAR/BEN/2024/0697,Triveni Sawhney
KAR/KOL/2024/0698,Faris Chaudhary
KAR/BEN/2024/0699,Dayita Natt
KAR/BEN/2024/0700,Libni Bhatti
KAR/MYS/2024/0701,Aryan Dua
KAR/RAI/2024/0702,Sathvik Saraf
KAR/MYS/2024/0703,Faris Tata
KAR/CHI/2024/0704,Gaurang Sanghvi
KAR/BAL/2024/0705,Ijaya Thakkar
KAR/MYS/2024/0706,Tanveer Gulati
KAR/UDU/2024/0707,Omkaar Borra
KAR/BEN/2024/0708,Yasti Kaur
KAR/BEN/2024/0709,Pranit Sule
KAR/KAL/2024/0710,Farhan Khatri
KAR/BEN/2024/0711,Diya Ray
KAR/KOP/2024/0712,Chandani Chaudhary
KAR/KOL/2024/0713,Nilima Datta
KAR/BEN/2024/0714,Girindra Dhar
KAR/MAN/2024/0715,Lakshit Chowdhury
KAR/BEN/2024/0716,Laksh Garg
KAR/BID/2024/0717,Yashasvi Nayak
KAR/KOP/2024/0718,Shivani Sarma
KAR/KOP/2024/0719,Timothy Handa
KAR/VIJ/2024/0720,Lucky Chawla
KAR/BEN/2024/0721,Andrew Shukla
KAR/BEN/2024/0722,Advay Taneja
KAR/BEN/2024/0723,Ria Pathak
KAR/DAV/2024/0724,Qushi Som
KAR/HUB/2024/0725,Hamsini Jha
KAR/BEN/2024/0726,Rohan Seshadri
KAR/KAL/2024/0727,Aarini Gour
KAR/MYS/2024/0728,Owen Vohra
KAR/RAI/2024/0729,Veda Golla
KAR/BEN/2024/0730,Vincent Oommen
KAR/KOL/2024/0731,Widisha Dhaliwal
KAR/BEN/2024/0732,Azaan Gulati
KAR/BEL/2024/0733,Tara Deshmukh
KAR/BEN/2024/0734,Anjali Mall
KAR/UDU/2024/0735,Vasatika Loke
KAR/BEN/2024/0736,Girindra Ramanathan
KAR/MYS/2024/0737,Wishi Naidu
KAR/BEN/2024/0738,Samesh Mital
KAR/KAL/2024/0739,Christopher Bajaj
KAR/KAL/2024/0740,Mahika Gara
KAR/BEN/2024/0741,Abhimanyu Ahluwalia
KAR/BEN/2024/0742,Kashish Mody
KAR/BEN/2024/0743,Omkaar Deo
KAR/KOL/2024/0744,Odika Upadhyay
KAR/BAL/2024/0745,Daksha Madan
KAR/KOL/2024/0746,Anusha Loke
KAR/HUB/2024/0747,Zayan Kothari
KAR/BEN/2024/0748,Wahab Kakar
KAR/MAN/2024/0749,Yashvi Kala
KAR/SHI/2024/0750,Patrick Oak
KAR/KAL/2024/0751,Turvi Kara
KAR/BID/2024/0752,Dakshesh Dhillon
KAR/MAN/2024/0753,Qadim Manne
KAR/MAN/2024/0754,Ayaan Tripathi
KAR/BEN/2024/0755,Ishani Shankar
KAR/BEN/2024/0756,Joshua Sandal
KAR/MAN/2024/0757,Yutika Choudhry
KAR/MYS/2024/0758,Libni Sura
KAR/BEN/2024/0759,Chameli Natt
KAR/BEN/2024/0760,Manan Tak
KAR/KOP/2024/0761,Hemangini Nayak
KAR/CHI/2024/0762,Omya Korpal
KAR/HAS/2024/0763,Udarsh Srinivas
KAR/KOP/2024/0764,Omkaar Varghese
KAR/MAN/2024/0765,Yasti Yohannan
KAR/BEN/2024/0766,Ayaan Khare
KAR/BAL/2024/0767,Vidhi Parekh
KAR/HUB/2024/0768,Farhan Ravel
KAR/BEN/2024/0769,Jatin Lanka
KAR/BEN/2024/0770,Vrishti Iyengar
KAR/VIJ/2024/0771,Praneel Kashyap
KAR/HUB/2024/0772,Vedhika Gour
KAR/SHI/2024/0773,George Rastogi
KAR/SHI/2024/0774,Janya Kurian
KAR/VIJ/2024/0775,Ladli D’Alia
KAR/BEN/2024/0776,Laban Patil
KAR/BEN/2024/0777,Pushti Shetty
KAR/BEL/2024/0778,Yagnesh Sabharwal
KAR/MAN/2024/0779,Zayyan Kurian
KAR/BID/2024/0780,Jackson Dube
KAR/BEN/2024/0781,Udyati Pandya
KAR/BID/2024/0782,Triya Tak
KAR/BEN/2024/0783,Noah Sethi
KAR/BEN/2024/0784,Jagdish Aurora
KAR/BEN/2024/0785,Hitesh Lad
KAR/BEN/2024/0786,Tristan Pai
KAR/MYS/2024/0787,Gaurika Kapoor
KAR/TUM/2024/0788,Agastya Chaudry
KAR/RAI/2024/0789,Chaaya Dalal
KAR/BEN/2024/0790,Lucky Mohanty
KAR/BEN/2024/0791,Hamsini Bhatnagar
KAR/MAN/2024/0792,Forum Gera
KAR/BEN/2024/0793,Warhi Jayaraman
KAR/HUB/2024/0794,Simon Singhal
KAR/BEN/2024/0795,Nidhi Anand
KAR/MAN/2024/0796,Hritik Prasad
KAR/HAS/2024/0797,Saanvi Behl
KAR/MAN/2024/0798,Brinda Sen
KAR/UDU/2024/0799,Guneet Purohit
KAR/BEN/2024/0800,Advay Sekhon
KAR/BEN/2024/0801,Girindra Sachdev
KAR/BEN/2024/0802,Widisha Murthy
KAR/SHI/2024/0803,Bimala Dugar
KAR/BEN/2024/0804,Hiral Kar
KAR/KOP/2024/0805,Logan Seth
KAR/KOL/2024/0806,Rohan Pandey
KAR/BEN/2024/0807,Vrishti Sura
KAR/UDU/2024/0808,William Nayak
KAR/HAS/2024/0809,Manthan Seshadri
KAR/VIJ/2024/0810,Matthew Srivastava
KAR/BEL/2024/0811,Arjun Majumdar
KAR/BID/2024/0812,Aarna Grover
KAR/BEN/2024/0813,Urmi Sheth
KAR/KOL/2024/0814,Charles Walla
KAR/SHI/2024/0815,Adya Bobal
KAR/MYS/2024/0816,Mohini Sani
KAR/KOL/2024/0817,Chatresh Kamdar
KAR/KAL/2024/0818,Eesha Rau
KAR/HAS/2024/0819,Girik Anand
KAR/BEN/2024/0820,Xavier Vohra
KAR/BEN/2024/0821,Kashvi Ramaswamy
KAR/BEN/2024/0822,Triveni Karnik
KAR/HUB/2024/0823,Faraj Sahota
KAR/VIJ/2024/0824,George Parmar
KAR/DAV/2024/0825,Abhimanyu Banik
KAR/MYS/2024/0826,Lucky Krishna
KAR/BEN/2024/0827,Shivansh Kala
KAR/BEN/2024/0828,Mohini Prashad
KAR/BEN/2024/0829,Radhika Cherian
KAR/CHI/2024/0830,Vasudha Bahl
KAR/UDU/2024/0831,Triveni Bhakta
KAR/BEN/2024/0832,Samaksh Cherian
KAR/BEN/2024/0833,Kabir Sarma
KAR/BEN/2024/0834,Baljiwan Sekhon
KAR/CHI/2024/0835,Leena Puri
KAR/UDU/2024/0836,Rajata Tata
KAR/BEN/2024/0837,Banjeet Muni
KAR/KOL/2024/0838,Mugdha Varghese
KAR/HUB/2024/0839,Advay Karan
KAR/CHI/2024/0840,Gopal Gandhi
KAR/UDU/2024/0841,Pranit Mukhopadhyay
KAR/HAS/2024/0842,Dakshesh Barad
KAR/MAN/2024/0843,Ekantika Rai
KAR/BEN/2024/0844,Banjeet Dash
KAR/TUM/2024/0845,Bahadurjit Suri
KAR/CHI/2024/0846,Omisha Patla
KAR/BEN/2024/0847,Garima Pandya
KAR/MYS/2024/0848,Pallavi Narain
KAR/BEN/2024/0849,Theodore Raghavan
KAR/KOP/2024/0850,Nachiket Sarraf
KAR/CHI/2024/0851,Finn Kanda
KAR/HUB/2024/0852,Arunima Sangha
KAR/HUB/2024/0853,Indali Khatri
KAR/BEN/2024/0854,Tanish Ray
KAR/BEN/2024/0855,Manbir Kade
KAR/BEL/2024/0856,Hemani Om
KAR/MYS/2024/0857,Jyoti Rajan
KAR/BEN/2024/0858,Raghav Boase
KAR/MYS/2024/0859,Ishaan Rout
KAR/MYS/2024/0860,Kritika Borah
KAR/KAL/2024/0861,Megha Singhal
KAR/BID/2024/0862,Anthony Sabharwal
KAR/CHI/2024/0863,Peter Magar
KAR/BEN/2024/0864,Jeevika Palan
KAR/SHI/2024/0865,Niharika Sabharwal
KAR/BAL/2024/0866,Sarthak Shenoy
KAR/RAI/2024/0867,Watika Kara
KAR/MAN/2024/0868,Arin Radhakrishnan
KAR/BEN/2024/0869,Dayamai Babu
KAR/SHI/2024/0870,Rachana Magar
KAR/BEN/2024/0871,Nihal Banerjee
KAR/MYS/2024/0872,Chavvi Pandit
KAR/CHI/2024/0873,Noah Mittal
KAR/SHI/2024/0874,Pranav Bhandari
KAR/MAN/2024/0875,Gaurangi Sridhar
KAR/KOP/2024/0876,Pavani Luthra
KAR/BEN/2024/0877,Kabir Magar
KAR/KOP/2024/0878,Quincy Kapadia
KAR/BEN/2024/0879,Nathaniel Comar
KAR/KOL/2024/0880,Kamala Mall
KAR/HAS/2024/0881,Ayush Johal
KAR/BID/2024/0882,Amrita Choudhary
KAR/BEN/2024/0883,Amol Shah
KAR/BEN/2024/0884,Raksha Gulati
KAR/MAN/2024/0885,Frederick Swamy
KAR/TUM/2024/0886,Arya Chandran
KAR/BEN/2024/0887,Yagnesh Ray
KAR/DAV/2024/0888,Amara Krishna
KAR/MAN/2024/0889,Indira Dara
KAR/BEN/2024/0890,Watika Bassi
KAR/BEN/2024/0891,Tanay Ganguly
KAR/KOL/2024/0892,Harinakshi Chaudhari
KAR/UDU/2024/0893,Advaith Rajan
KAR/VIJ/2024/0894,Samuel Lal
KAR/HAS/2024/0895,Daniel Chopra
KAR/HAS/2024/0896,Bhavini Konda
KAR/BEN/2024/0897,Onveer Ranganathan
KAR/KOP/2024/0898,Maya Manda
KAR/SHI/2024/0899,Ekaraj Deol
KAR/DAV/2024/0900,Girindra Sur
KAR/CHI/2024/0901,Vansha Krish
KAR/RAI/2024/0902,Ubika Gala
KAR/SHI/2024/0903,Pranit Deep
KAR/DAV/2024/0904,Harsh Memon
KAR/BAL/2024/0905,Ucchal Kota
KAR/BEN/2024/0906,Zaid Oommen
KAR/UDU/2024/0907,Ansh Barman
KAR/BAL/2024/0908,Leena Oza
KAR/BEN/2024/0909,Libni Datta
KAR/BEN/2024/0910,Neha Agarwal
KAR/BEN/2024/0911,Advik Bhagat
KAR/MYS/2024/0912,Abhiram Munshi
KAR/BEN/2024/0913,Mason Bahri
KAR/HAS/2024/0914,Hamsini Trivedi
KAR/RAI/2024/0915,Charita Bhattacharyya
KAR/BEN/2024/0916,Gaurang Gara
KAR/BEN/2024/0917,Chandresh Parmer
KAR/HUB/2024/0918,Ekalinga Dhar
KAR/HUB/2024/0919,Yashasvi Kannan
KAR/BEL/2024/0920,Amrita Kakar
KAR/HUB/2024/0921,Manan Sama
KAR/MYS/2024/0922,Tara Sridhar
KAR/KOP/2024/0923,Qarin Dash
KAR/VIJ/2024/0924,Ishwar Kara
KAR/KOP/2024/0925,Brijesh Banik
KAR/BEN/2024/0926,Aradhana Varma
KAR/CHI/2024/0927,Reyansh Oommen
KAR/BEN/2024/0928,Ganga Yadav
KAR/BEN/2024/0929,Ria Mohanty
KAR/BEN/2024/0930,Onveer Korpal
KAR/BID/2024/0931,Nihal Lall
KAR/BEN/2024/0932,Niharika Chakraborty
KAR/BAL/2024/0933,Owen Kumer
KAR/BEL/2024/0934,Liam Jaggi
KAR/BEN/2024/0935,Vivaan Dyal
KAR/UDU/2024/0936,Raagini Bobal
KAR/BEL/2024/0937,Vedant Mitter
KAR/BEN/2024/0938,Geetika Chopra
KAR/MYS/2024/0939,Harrison Chowdhury
KAR/HUB/2024/0940,Vinaya Ahluwalia
KAR/BID/2024/0941,Reva Narain
KAR/BEN/2024/0942,Kamala Nair
KAR/BEN/2024/0943,Ekalinga Shukla
KAR/BEN/2024/0944,Harsh Tailor
KAR/BEN/2024/0945,Eiravati Banerjee
KAR/MYS/2024/0946,Ekavir Kumer
KAR/BEN/2024/0947,Sachi Biswas
KAR/BEN/2024/0948,Harsh Krishnan
KAR/BEN/2024/0949,Megha Nagarajan
KAR/BEN/2024/0950,Vedhika Raju
KAR/RAI/2024/0951,Gagan Sengupta
KAR/BEN/2024/0952,Watika Chad
KAR/BEL/2024/0953,Nathan Gala
KAR/DAV/2024/0954,Fiyaz Bajaj
KAR/KOL/2024/0955,Jatin Manne
KAR/DAV/2024/0956,Tanmayi Gokhale
KAR/BEN/2024/0957,Balveer Vyas
KAR/BEN/2024/0958,Benjamin Bahl
KAR/BAL/2024/0959,Ucchal Kunda
KAR/TUM/2024/0960,Guneet Om
KAR/BEN/2024/0961,Bhanumati Bhatia
KAR/SHI/2024/0962,Rajeshri Mistry
KAR/BID/2024/0963,Jonathan Kalita
KAR/BID/2024/0964,Anita Raju
KAR/BEN/2024/0965,Aadi Kapur
KAR/RAI/2024/0966,Eiravati Vohra
KAR/VIJ/2024/0967,Anay Kulkarni
KAR/KOL/2024/0968,Henry Gour
KAR/BEN/2024/0969,Eesha Kakar
KAR/VIJ/2024/0970,Gayathri Sinha
KAR/TUM/2024/0971,Farhan Rege
KAR/BEN/2024/0972,Rajeshri Samra
KAR/BEN/2024/0973,Meghana Dada
KAR/BEN/2024/0974,Matthew Walia
KAR/BEN/2024/0975,Nandini Khurana
KAR/SHI/2024/0976,Aarini Seth
KAR/BEL/2024/0977,Jyoti Karnik
KAR/HAS/2024/0978,Ishani Pau
KAR/BEL/2024/0979,Lohit Grover
KAR/BEN/2024/0980,Vaishnavi Sabharwal
KAR/BEN/2024/0981,Janya Bala
KAR/BEN/2024/0982,Dalbir Modi
KAR/MAN/2024/0983,Hardik Kulkarni
KAR/KOP/2024/0984,Daksh Agrawal
KAR/BEN/2024/0985,Yatin Setty
KAR/BEN/2024/0986,Arjun Warrior
KAR/BEN/2024/0987,Indrajit Hayer
KAR/BEN/2024/0988,Udant Keer
KAR/BEN/2024/0989,Tanay Mohan
KAR/BAL/2024/0990,Omisha Mandal
KAR/BEN/2024/0991,Udant Pathak
KAR/BEN/2024/0992,Arya Chhabra
KAR/DAV/2024/0993,Avi Rao
KAR/BEN/2024/0994,Urvi Rege
KAR/BEN/2024/0995,Girik Bath
KAR/BEN/2024/0996,Harini Pal
KAR/BEN/2024/0997,Nicholas Lad
KAR/BAL/2024/0998,Inaya Khosla
KAR/TUM/2024/0999,Jatin Raju
KAR/KAL/2024/1000,Siddharth Raman
KAR/BEN/2024/1001,Sneha Pingle
KAR/DAV/2024/1002,Jagdish Dar
KAR/UDU/2024/1003,Ekansh Singhal
KAR/DAV/2024/1004,Chaitanya Mander
KAR/SHI/2024/1005,Ijaya Gour
KAR/HAS/2024/1006,Yatan Patla
KAR/KAL/2024/1007,Lakshit Gaba
KAR/BEN/2024/1008,Mohammed Arora
KAR/MAN/2024/1009,Gaurang Dass
KAR/VIJ/2024/1010,Nisha Prashad
KAR/BEN/2024/1011,Devansh Pandey
KAR/KAL/2024/1012,Ira Bhatti
KAR/DAV/2024/1013,Lohit Gara
KAR/BEN/2024/1014,Darsh Narang
KAR/KOP/2024/1015,Pranav Vala
KAR/BEN/2024/1016,Logan Dani
KAR/MYS/2024/1017,Yatin Savant
KAR/BEL/2024/1018,Aarav Talwar
KAR/BEN/2024/1019,Udant Garde
KAR/BEN/2024/1020,Devika Trivedi
KAR/BEN/2024/1021,Yoshita Sangha
KAR/BEN/2024/1022,Eshana Chatterjee
KAR/TUM/2024/1023,Vincent Balasubramanian
KAR/BEN/2024/1024,Devika Dey
KAR/MYS/2024/1025,Azad Narula
KAR/BEN/2024/1026,Upadhriti Kari
KAR/MAN/2024/1027,Nihal Krish
KAR/BEN/2024/1028,Rachita Dugar
KAR/MAN/2024/1029,Yashawini Mitter
KAR/KOL/2024/1030,Chandani Handa
KAR/CHI/2024/1031,Advika Andra
KAR/BEN/2024/1032,Tripti Bhatti
KAR/DAV/2024/1033,Harrison Dixit
KAR/MYS/2024/1034,Parth Bhatti
KAR/BEN/2024/1035,Hema Reddy
KAR/BEL/2024/1036,Kabir Oza
KAR/SHI/2024/1037,Akshay Bhatnagar
KAR/MAN/2024/1038,Devika Nazareth
KAR/HUB/2024/1039,Ucchal Lalla
KAR/UDU/2024/1040,Ojas Sachdev
KAR/BID/2024/1041,Rachana Mani
KAR/BAL/2024/1042,Jairaj Gaba
KAR/DAV/2024/1043,Qarin Varghese
KAR/MAN/2024/1044,Gaurang Malhotra
KAR/VIJ/2024/1045,Gayathri Sankar
KAR/BEN/2024/1046,Gauri Parmar
KAR/BEN/2024/1047,Thomas Mallick
KAR/MYS/2024/1048,Amol Bahl
KAR/TUM/2024/1049,Zinal Guha
KAR/KOP/2024/1050,Chakradev Yohannan
KAR/KOL/2024/1051,Wyatt Seth
KAR/DAV/2024/1052,Leela Uppal
KAR/KOL/2024/1053,Timothy Pal
KAR/BEN/2024/1054,Faqid Manda
KAR/BEN/2024/1055,Frado Varghese
KAR/HUB/2024/1056,Jagrati Vig
KAR/BEN/2024/1057,Finn Bandi
KAR/BEN/2024/1058,Jacob Bhandari
KAR/BEN/2024/1059,Harrison Sibal
KAR/BEN/2024/1060,Manan Hora
KAR/VIJ/2024/1061,Gaurav Rout
KAR/CHI/2024/1062,Logan Nagar
KAR/TUM/2024/1063,Harini Lal
KAR/HAS/2024/1064,Jagat Sani
KAR/BEN/2024/1065,Faqid Sahni
KAR/MAN/2024/1066,Naveen Chanda
KAR/DAV/2024/1067,Divya Sant
KAR/BEN/2024/1068,Bimala Yohannan
KAR/MAN/2024/1069,Arunima Bose
KAR/BEN/2024/1070,Gaurangi Mishra
KAR/HAS/2024/1071,Mugdha Goel
KAR/BAL/2024/1072,Chanakya Radhakrishnan
KAR/SHI/2024/1073,Manya Trivedi
KAR/KOL/2024/1074,Ikbal Bajwa
KAR/CHI/2024/1075,Yatin Jani
KAR/BID/2024/1076,Ayaan Raghavan
KAR/BID/2024/1077,Sudiksha Contractor
KAR/BEN/2024/1078,Reyansh Bahri
KAR/KOP/2024/1079,Owen Keer
KAR/BID/2024/1080,Benjamin Bose
KAR/BEN/2024/1081,Harrison Mody
KAR/MAN/2024/1082,Damyanti Chatterjee
KAR/VIJ/2024/1083,Hitesh Lad
KAR/CHI/2024/1084,Bakhshi Ben
KAR/BEN/2024/1085,Bimala Swaminathan
KAR/DAV/2024/1086,Widisha Trivedi
KAR/BEN/2024/1087,Urishilla Modi
KAR/BEN/2024/1088,Balveer Rastogi
KAR/HAS/2024/1089,Alexander Samra
KAR/BEN/2024/1090,Pallavi Goswami
KAR/BEN/2024/1091,Naksh Bath
KAR/BAL/2024/1092,Dalaja Nadkarni
KAR/BEN/2024/1093,Saksham Prasad
KAR/UDU/2024/1094,Advik Keer
KAR/BEN/2024/1095,Zilmil Kalla
KAR/KAL/2024/1096,Robert Bhandari
KAR/KOL/2024/1097,Gautam Varughese
KAR/BEN/2024/1098,Benjamin Batra
KAR/CHI/2024/1099,Kritika Pingle
KAR/MYS/2024/1100,Ekiya Dugar
KAR/VIJ/2024/1101,Ekantika Chakrabarti
KAR/MAN/2024/1102,Gaurika Hegde
KAR/MAN/2024/1103,Reyansh Yadav
KAR/BEN/2024/1104,Amara Sen
KAR/RAI/2024/1105,Bhavani Halder
KAR/BEN/2024/1106,Udant Ranganathan
KAR/BEN/2024/1107,Chatura Nair
KAR/VIJ/2024/1108,Henry Gole
KAR/TUM/2024/1109,Samaksh Baria
KAR/KOP/2024/1110,Raksha Kurian
KAR/MYS/2024/1111,Christopher Naik
KAR/HAS/2024/1112,Ridhi Kadakia
KAR/BEN/2024/1113,Patrick Sastry
KAR/MAN/2024/1114,Rohan Dave
KAR/KOP/2024/1115,Chaitaly Comar
KAR/BEN/2024/1116,Unnati Kaur
KAR/KAL/2024/1117,Zayyan Dada
KAR/MAN/2024/1118,Upkaar Deo
KAR/MYS/2024/1119,Januja Minhas
KAR/BEN/2024/1120,Matthew Saini
KAR/SHI/2024/1121,Ria Devi
KAR/BEN/2024/1122,Manan Dani
KAR/BID/2024/1123,Tanish Dhawan
KAR/BEN/2024/1124,Hardik Rajagopalan
KAR/MAN/2024/1125,Dev Grover
KAR/VIJ/2024/1126,Qarin Naidu
KAR/BEN/2024/1127,Ayushman Bose
KAR/BEN/2024/1128,Ishita Misra
KAR/BEN/2024/1129,Om Ramaswamy
KAR/BEL/2024/1130,Andrew Ranganathan
KAR/BEN/2024/1131,Mason Dixit
KAR/BEL/2024/1132,Jalsa Nayak
KAR/BEN/2024/1133,Laksh Hari
KAR/BEN/2024/1134,Bahadurjit Hans
KAR/HUB/2024/1135,Ekiya Apte
KAR/BEN/2024/1136,Aarini Deshmukh
KAR/TUM/2024/1137,Amara Sharaf
KAR/BEN/2024/1138,Udarsh Chandra
KAR/DAV/2024/1139,Harish Bhakta
KAR/DAV/2024/1140,Gauri Rege
KAR/RAI/2024/1141,Falguni Sachdev
KAR/BEL/2024/1142,Hemang Parsa
KAR/UDU/2024/1143,Kiaan Soman
KAR/TUM/2024/1144,Faris Bajaj
KAR/BEN/2024/1145,Chatresh Krishnamurthy
KAR/BEN/2024/1146,Noah Jani
KAR/BEN/2024/1147,Faraj Khalsa
KAR/DAV/2024/1148,Abdul Kara
KAR/BEN/2024/1149,Wridesh Varughese
KAR/SHI/2024/1150,Aarav Vig
KAR/KAL/2024/1151,Jacob Dhaliwal
KAR/BID/2024/1152,Tanvi Kumer
KAR/SHI/2024/1153,Karan Dyal
KAR/CHI/2024/1154,Chatresh Kumer
KAR/BEN/2024/1155,Balhaar Kar
KAR/BEN/2024/1156,Ikbal Dave
KAR/BEN/2024/1157,Turvi Dey
KAR/CHI/2024/1158,Darsh Bandi
KAR/BEN/2024/1159,Jyoti Sankar
KAR/UDU/2024/1160,Banjeet Din
KAR/VIJ/2024/1161,Urishilla Dyal
KAR/HAS/2024/1162,Azaan Sha
KAR/BEN/2024/1163,Kalpit Narula
KAR/BEN/2024/1164,Rushil Modi
KAR/BEN/2024/1165,Ekta Dhaliwal
KAR/MAN/2024/1166,Jatin Chopra
KAR/MYS/2024/1167,Ikshita Sundaram
KAR/KOP/2024/1168,Ishanvi Warrior
KAR/BEN/2024/1169,Diya Bora
KAR/BEN/2024/1170,Rayaan Naik
KAR/SHI/2024/1171,Dominic Karan
KAR/HUB/2024/1172,Maanas Ratti
KAR/BEN/2024/1173,Utkarsh Shankar
KAR/BEN/2024/1174,Advay Menon
KAR/HAS/2024/1175,Gopal Mallick
KAR/RAI/2024/1176,Xavier Savant
KAR/BEN/2024/1177,Nirja Bobal
KAR/VIJ/2024/1178,Agastya Lalla
KAR/TUM/2024/1179,Garima Rana
KAR/VIJ/2024/1180,Omaja Babu
KAR/BEN/2024/1181,Triveni Apte
KAR/BEN/2024/1182,Rohan Johal
KAR/BAL/2024/1183,Rohan Krishnan
KAR/BID/2024/1184,Priya Guha
KAR/UDU/2024/1185,Urishilla Joshi
KAR/BEN/2024/1186,Hredhaan Chowdhury
KAR/HAS/2024/1187,Harshil Bhattacharyya
KAR/BEN/2024/1188,Champak Chacko
KAR/BEN/2024/1189,Vasudha Vig
KAR/BEN/2024/1190,Aryan Jha
KAR/CHI/2024/1191,Jairaj Sawhney
KAR/BEN/2024/1192,Gaurang Dass
KAR/DAV/2024/1193,Upasna Mand
KAR/KAL/2024/1194,George Virk
KAR/UDU/2024/1195,Jackson Padmanabhan
KAR/RAI/2024/1196,Chakradev Pall
KAR/MAN/2024/1197,Eta Soman
KAR/DAV/2024/1198,Banjeet Ahluwalia
KAR/BEN/2024/1199,Chatresh Dhawan
KAR/BEN/2024/1200,Aarini Deep
KAR/MAN/2024/1201,Harish Palla
KAR/BEL/2024/1202,Eshana Yadav
KAR/KOP/2024/1203,Chaitaly Iyer
KAR/BEN/2024/1204,Bhavya Pillai
KAR/BEN/2024/1205,Kala Khurana
KAR/BEN/2024/1206,Jairaj Chawla
KAR/VIJ/2024/1207,Chanakya Sachar
